"Vosa";"VosaParts";"Finnish";"English";"SL"
"vovöcuoote";"vo-vö-cu-oo-te";"vehkeily";"intrigue";"S"
"vovöcuoote";"vo-vö-cu-oo-te";"vehkeily";"machination";"S"
"vovöcuoote";"vo-vö-cu-oo-te";"vehkeily";"plotting";"S"
"vovöcuoova";"vo-vö-cu-oo-va";"vehkeilevä";"conniving";"A"
"vovöjuspao";"vo-vö-jus-pa-o";"kojelauta";"dashboard";"S"
"vovösi";"vo-vö-si";"vehkeet";"gadgetry";"S"
"vovöö";"vo-vöö";"värkätä";"build";"V"
"vovöö";"vo-vöö";"värkätä";"make";"V"
"voyys";"vo-yys";"purra";"work";"V"
"voögyyv";"vo-ög-yyv";"torjua";"fend";"V"
"voögyyv";"vo-ög-yyv";"torjua";"fend off";"V"
"voögyyv";"vo-ög-yyv";"torjua";"parry";"V"
"voögyyv";"vo-ög-yyv";"torjua";"prevent";"V"
"voögyyv";"vo-ög-yyv";"torjua";"repel";"V"
"voögyyv";"vo-ög-yyv";"torjua";"repulse";"V"
"voögyyv";"vo-ög-yyv";"torjua";"ward off";"V"
"voögyyvte";"vo-ög-yyv-te";"torjuminen";"prevention";"S"
"voögyyvte";"vo-ög-yyv-te";"torjunta";"defense";"S"
"voögyyvte";"vo-ög-yyv-te";"torjunta";"parry";"S"
"voögyyvte";"vo-ög-yyv-te";"torjunta";"prevention";"S"
"voögyyvte";"vo-ög-yyv-te";"torjunta";"suppression";"S"
"voögyyvtemo";"vo-ög-yyv-te-mo";"torjunta-aine";"pesticide";"S"
"voögyyvva";"vo-ög-yyv-va";"torjuva";"rejecting";"A"
"voögyyvva";"vo-ög-yyv-va";"torjuva";"unwelcoming";"A"
"vrisve";"vris-ve";"ranne";"wrist";"S"
"vrisve";"vris-ve";"ranne";"wrist joint";"S"
"vrisvenovö";"vris-ve-no-vö";"rannekello";"wrist watch";"S"
"vrisvenovö";"vris-ve-no-vö";"rannekello";"wristwatch";"S"
"vrisvering";"vris-ve-ring";"ranneke";"bracelet";"S"
"vrisvering";"vris-ve-ring";"ranneke";"wristband";"S"
"vrisvering";"vris-ve-ring";"rannerengas";"bangle";"S"
"vrisvering";"vris-ve-ring";"rannerengas";"bracelet";"S"
"vu";"vu";"w";"w";"X"
"vu-";"vu-";"uima-";"swimming";"S"
"vuharvat";"vu-har-vat";"uimahousut";"swimming trunks";"S"
"vulblus";"vul-blus";"villapusero";"sweater";"S"
"vuleitol";"vu-lei-tol";"uimahalli";"swimming hall";"S"
"vuleivomos";"vu-lei-vo-mos";"uima-allas";"pool";"S"
"vuleivomos";"vu-lei-vo-mos";"uima-allas";"swimming pool";"S"
"vulfultoo";"vul-ful-too";"topata";"pad";"V"
"vulfultoo";"vul-ful-too";"topata";"wad";"V"
"vulfultoyllyvat";"vul-ful-to-yl-ly-vat";"toppatakki";"quilted jacket";"S"
"vulharvat";"vul-har-vat";"sarkahousut";"frieze pants";"S"
"vulharvat";"vul-har-vat";"sarkahousut";"wool trousers";"S"
"vulhaupe";"vul-hau-pe";"villakoira";"poodle";"S"
"vulhät";"vul-hät";"pipo";"stocking cap";"S"
"vulhät";"vul-hät";"pipo";"woolly hat";"S"
"vulkayv";"vul-ka-yv";"villapeite";"wool blanket";"S"
"vulkayvto";"vul-ka-yv-to";"huopa";"blanket";"S"
"vulkayvto";"vul-ka-yv-to";"huopa";"felt";"S"
"vulkayvto";"vul-ka-yv-to";"huopa";"rug";"S"
"vulkayvto";"vul-ka-yv-to";"huopa";"wrap";"S"
"vulkayvto";"vul-ka-yv-to";"viltti";"blanket";"S"
"vulmo";"vul-mo";"villa";"wool";"S"
"vulmova";"vul-mo-va";"villainen";"woolen";"A"
"vulmova";"vul-mo-va";"villainen";"woollen";"A"
"vulmova";"vul-mo-va";"villainen";"woolly";"A"
"vulpaveto";"vul-pa-ve-to";"lapanen";"mitten";"S"
"vulpogagpe";"vul-po-gag-pe";"laama";"llama";"S"
"vultuveto";"vul-tu-ve-to";"tossu";"shoe";"S"
"vultuveto";"vul-tu-ve-to";"tossu";"slipper";"S"
"vultuveto";"vul-tu-ve-to";"töppönen";"felt slipper";"S"
"vulvatmo";"vul-vat-mo";"verka";"broadcloth";"S"
"vulvatmo";"vul-vat-mo";"villakangas";"woolen cloth";"S"
"vulvev";"vulv-ev";"häpy";"vulva";"S"
"vulvolmat";"vul-vol-mat";"raanu";"woolen wall hanging";"S"
"vulylvat";"vul-yl-vat";"villapaita";"pullover";"S"
"vulylvat";"vul-yl-vat";"villapaita";"sweater";"S"
"vuokuk";"vuo-kuk";"vuokko";"anemone";"S"
"vupagaa";"vu-pa-gaa";"soutaa";"row";"V"
"vupagaajo";"vu-pa-gaa-jo";"soutaja";"rower";"S"
"vupagaate";"vu-pa-gaa-te";"soutu";"rowing";"S"
"vupagavo";"vu-pa-ga-vo";"airo";"oar";"S"
"vupagavo";"vu-pa-ga-vo";"airo";"scull";"S"
"vupagavosi";"vu-pa-ga-vo-si";"airot";"oars";"S"
"vupagavuvö";"vu-pa-ga-vu-vö";"kaleeri";"galley";"S"
"vuu";"vuu";"uida";"swim";"V"
"vuuen";"vuu-en";"ui";"swam";"V"
"vuujo";"vuu-jo";"uimari";"swimmer";"S"
"vuute";"vuu-te";"uiminen";"bathing";"S"
"vuute";"vuu-te";"uiminen";"swimming";"S"
"vuute";"vuu-te";"uinti";"swim";"S"
"vuute";"vuu-te";"uinti";"swimming";"S"
"vuvamdim";"vu-vam-dim";"uimaranta";"beach";"S"
"vuvat";"vu-vat";"uimapuku";"bathing suit";"S"
"vuvat";"vu-vat";"uimapuku";"swimsuit";"S"
"vuvo";"vu-vo";"vene";"boat";"S"
"vuvo";"vu-vo";"vene";"dinghy";"S"
"vuvodevo";"vu-vo-de-vo";"peräsin";"rudder";"S"
"vuvodevo";"vu-vo-de-vo";"ruori";"helm";"S"
"vuvodevo";"vu-vo-de-vo";"ruori";"rudder";"S"
"vuvodevo";"vu-vo-de-vo";"ruori";"tiller";"S"
"vuvodevobar";"vu-vo-de-vo-bar";"ruoritanko";"rudder rod";"S"
"vuvodevorauto";"vu-vo-de-vo-rau-to";"ruoriratas";"helm";"S"
"vuvolo";"vu-vo-lo";"venesatama";"marina";"S"
"vuvoojo";"vu-voo-jo";"veneilijä";"boater";"S"
"vuvoote";"vu-voo-te";"veneily";"boating";"S"
"vuvovamdimos";"vu-vo-vam-dim-os";"venelaituri";"boat dock";"S"
"vuvö";"vu-vö";"laiva";"ship";"S"
"vuvö";"vu-vö";"laiva";"vessel";"S"
"vuvöalpu";"vu-vö-al-pu";"köli";"keel";"S"
"vuvöaltolik";"vu-vö-al-tol-ik";"ruuma";"hold";"S"
"vuvödiir";"vu-vö-diir";"luotsata";"pilot";"V"
"vuvödiirjo";"vu-vö-diir-jo";"luotsi";"pilot";"S"
"vuvödiirjolo";"vu-vö-diir-jo-lo";"luotsiasema";"pilot station";"S"
"vuvöiksio";"vu-vö-ik-si-o";"eskaaderi";"squadron";"S"
"vuvöiksio";"vu-vö-ik-si-o";"eskadroona";"squadron";"S"
"vuvöiksio";"vu-vö-ik-si-o";"eskadroona";"troop";"S"
"vuvöjo";"vu-vö-jo";"kippari";"skipper";"S"
"vuvöjo";"vu-vö-jo";"laivuri";"captain";"S"
"vuvöjo";"vu-vö-jo";"laivuri";"skipper";"S"
"vuvölo";"vu-vö-lo";"satama";"harbor";"S"
"vuvölo";"vu-vö-lo";"satama";"harbour";"S"
"vuvölo";"vu-vö-lo";"satama";"haven";"S"
"vuvölo";"vu-vö-lo";"satama";"port";"S"
"vuvölo";"vu-vö-lo";"valkama";"haven";"S"
"vuvölodriva";"vu-vö-lod-ri-va";"laivalastillinen";"shipload of";"A"
"vuvölotaunlo";"vu-vö-lo-taun-lo";"satamakaupunki";"port city";"S"
"vuvölotaunlo";"vu-vö-lo-taun-lo";"satamakaupunki";"seaport";"S"
"vuvölö";"vu-vö-lö";"laivatelakka";"ship dock";"S"
"vuvölö";"vu-vö-lö";"telakka";"dock";"S"
"vuvölö";"vu-vö-lö";"telakka";"dockyard";"S"
"vuvölö";"vu-vö-lö";"telakka";"drydock";"S"
"vuvölö";"vu-vö-lö";"telakka";"shipyard";"S"
"vuvölöö";"vu-vö-löö";"telakoida";"dock";"V"
"vuvölööte";"vu-vö-löö-te";"telakointi";"docking";"S"
"vuvönuklo";"vu-vö-nuk-lo";"hytti";"cabin";"S"
"vuvöpoul";"vu-vö-poul";"laivanmasto";"mast";"S"
"vuvöpoul";"vu-vö-poul";"laivanmasto";"ship's mast";"S"
"vuvöpäjo";"vu-vö-pä-jo";"kommodori";"commodore";"S"
"vuvörek";"vu-vö-rek";"haaksirikko";"calamity";"S"
"vuvörek";"vu-vö-rek";"haaksirikko";"disaster";"S"
"vuvörek";"vu-vö-rek";"haaksirikko";"shipwreck";"S"
"vuvörekva";"vu-vö-rek-va";"haaksirikkoinen";"castaway";"A"
"vuvörotuo";"vu-vö-ro-tuo";"laivamatka";"boat trip";"S"
"vuvörotuo";"vu-vö-ro-tuo";"laivamatka";"sea voyage";"S"
"vuvösio";"vu-vö-si-o";"laivue";"flotilla";"S"
"vuvösio";"vu-vö-si-o";"laivue";"squadron";"S"
"vuvötoolte";"vu-vö-tool-te";"laivanrakennus";"shipbuilding";"S"
"vuvötralö";"vu-vö-tra-lö";"varustamo";"shipowner";"S"
"vuvötralö";"vu-vö-tra-lö";"varustamo";"shipping company";"S"
"vuvötusta";"vu-vö-tu-sta";"laivaliikenne";"ship traffic";"S"
"vuvövamdimos";"vu-vö-vam-dim-os";"satamalaituri";"wharf";"S"
"vuvöyltal";"vu-vö-yl-tal";"laivan kansi";"deck";"S"
"vuvö-ööfjo";"vu-vö-ööf-jo";"laivanvarustaja";"shipowner";"S"
"vuyllitulos";"vu-yl-li-tul-os";"ponttonisilta";"pontoon bridge";"S"
"vy";"vy";"avulla";"by";"P"
"vy ajof öfva";"vy aj-of öf-va";"omillani";"on my own";"A"
"vy almoltuvö";"vy al-mol-tu-vö";"metrolla";"by underground";"S"
"vy dinsi";"vy di-n-si";"tuntikaupalla";"for hours";"P"
"vy ditul";"vy di-tul";"maanteitse";"by road";"P"
"vy durauvo";"vy du-rau-vo";"polkupyörällä";"by bicycle";"S"
"vy fetuvö";"vy fe-tu-vö";"junalla";"by train";"S"
"vy friofratösi";"vy fri-of-ra-tö-si";"talkoilla";"by voluntary work";"V"
"vy gövyy";"vy gö-vyy";"kannustamalla";"spurring";"V"
"vy hasop";"vy ha-sop";"sovinnolla";"conciliatorily";"P"
"vy hasop";"vy ha-sop";"sovinnolla";"with reconciliation";"P"
"vy hava";"vy ha-va";"hyvällä";"by good";"A"
"vy hava";"vy ha-va";"hyvällä";"with good";"A"
"vy huvö";"vy hu-vö";"lentokoneella";"by plane";"S"
"vy hödavö";"vy hö-da-vö";"radioitse";"by radio";"P"
"vy is heiite";"vy is heii-te";"kertaheitolla";"in one fell swoop";"P"
"vy isno";"vy is-no";"kerralla";"at once";"P"
"vy it";"vy it";"sillä";"with it";"P"
"vy kirgao";"vy kir-ga-o";"kirjeellä";"by letter";"P"
"vy kirgao";"vy kir-ga-o";"kirjeitse";"by letter";"P"
"vy livote";"vy li-vo-te";"taidolla";"with skill";"S"
"vy lyva hö";"vy ly-va hö";"matalalla äänellä";"in a low voice";"S"
"vy lyva hö";"vy ly-va hö";"matalalla äänellä";"in an undertone";"S"
"vy pagat";"vy pagat";"postitse";"by post";"P"
"vy pave ruap";"vy pa-ve ru-ap";"ote kädellä";"grip with hand";"S"
"vy pipriaap";"vy pip-ri-aap";"mittaamalla";"gauging";"D"
"vy pipriaap";"vy pip-ri-aap";"mittaamalla";"measuring";"D"
"vy po";"vy po";"voimalla";"by force";"S"
"vy poaag";"vy po-aag";"vetämällä";"pulling";"D"
"vy polyy";"vy po-lyy";"painamalla";"pressing";"P"
"vy popitpö";"vy po-pit-pö";"väkivallalla";"by violence";"S"
"vy popitpö";"vy po-pit-pö";"väkivallalla";"with violence";"S"
"vy povövuvo";"vy po-vö-vu-vo";"moottoriveneellä";"by motorboat";"S"
"vy rovfaa";"vy rov-faa";"maksamalla";"by paying";"D"
"vy siotuvö";"vy si-o-tu-vö";"bussilla";"by bus";"S"
"vy tiftuvö";"vy tif-tu-vö";"taksilla";"by taxi";"S"
"vy tre";"vy tre";"kolmittain";"in threes";"P"
"vy tur";"vy tur";"turvin";"by means of";"P"
"vy tur";"vy tur";"turvin";"with help";"P"
"vy tä";"vy tä";"tällä";"by this";"PR"
"vy vipaa";"vy vi-paa";"yhdistämällä";"combining";"D"
"vy visavö";"vy vi-sa-vö";"puhelimitse";"by telephone";"P"
"vy yllyvö";"vy yl-ly-vö";"hissillä";"by elevator";"S"
"vy öbsoo";"vy öb-soo";"pohtimalla";"by pondering";"D"
"vy öfva";"vy öf-va";"omalla";"by own";"A"
"vy öfva";"vy öf-va";"omalla";"on own";"A"
"vy öfva posi";"vy öf-va po-si";"omin voimin";"by own";"S"
"vycejsiva";"vy-ce-j-si-va";"suvuittainen";"familial";"A"
"vyhylsiedlo";"vy-hy-l-si-ed-lo";"konsulaatti";"consulate";"S"
"vyhötusa";"vy-hö-tu-sa";"hälytys";"alarm";"S"
"vyhötusa";"vy-hö-tu-sa";"hälytys";"alert";"S"
"vyhötusa";"vy-hö-tu-sa";"hälytys";"tocsin";"S"
"vyhötusaa";"vy-hö-tu-saa";"hälyttää";"alarm";"V"
"vyhötusaa";"vy-hö-tu-saa";"hälyttää";"alert";"V"
"vyhötusaali";"vy-hö-tu-saa-li";"hälyttävästi";"alarmingly";"D"
"vyhötusaava";"vy-hö-tu-saa-va";"hälyttävä";"alarming";"A"
"vyhötusaava";"vy-hö-tu-saa-va";"hälyttävä";"alerting";"A"
"vyhötusahö";"vy-hö-tu-sa-hö";"hälytysääni";"warning signal";"S"
"vyhötusalijär";"vy-hö-tu-sa-li-jär";"hälytysjärjestelmä";"alarm system";"S"
"vyhötusavö";"vy-hö-tu-sa-vö";"hälytin";"alarm";"S"
"vyhötusavö";"vy-hö-tu-sa-vö";"summeri";"buzzer";"S"
"vykiirjo";"vy-kiir-jo";"kirjuri";"registrar";"S"
"vykiirjo";"vy-kiir-jo";"kirjuri";"scorer";"S"
"vykiirjo";"vy-kiir-jo";"kirjuri";"scribal";"S"
"vykiirjo";"vy-kiir-jo";"kirjuri";"scribe";"S"
"vyo";"vy-o";"apu";"aid";"S"
"vyo";"vy-o";"apu";"assistance";"S"
"vyo";"vy-o";"apu";"help";"S"
"vyo";"vy-o";"apu";"recourse";"S"
"vyo";"vy-o";"apu";"refuge";"S"
"vyo";"vy-o";"apu";"relief";"S"
"vyo";"vy-o";"apu";"remedy";"S"
"vyo";"vy-o";"apu";"resort";"S"
"vyo";"vy-o";"apu";"subsidy";"S"
"vyo";"vy-o";"apu";"succour";"S"
"vyo";"vy-o";"apu";"support";"S"
"vyo-";"vy-o";"apu-";"auxiliary";"S"
"vyo-";"vy-o";"apu-";"subsidiary";"S"
"vyo-";"vy-o";"apu-";"supplemental";"S"
"vyo-";"vy-o";"apu-";"supplementary";"S"
"vyodiirjo";"vy-o-diir-jo";"apulaisjohtaja";"assistant foreman";"S"
"vyoditerjo";"vy-o-di-ter-jo";"apulaislääkäri";"assistant doctor";"S"
"vyoejli";"vy-o-ej-li";"avuttomasti";"helplessly";"D"
"vyoejponteejo";"vy-o-ej-pon-tee-jo";"nahjus";"laggard";"S"
"vyoejponteejo";"vy-o-ej-pon-tee-jo";"nahjus";"slob";"S"
"vyoejponteejo";"vy-o-ej-pon-tee-jo";"nahjus";"slowpoke";"S"
"vyoejva";"vy-o-ej-va";"avuton";"forlorn";"A"
"vyoejva";"vy-o-ej-va";"avuton";"helpless";"A"
"vyoejvao";"vy-o-ej-va-o";"avuttomuus";"helplessness";"S"
"vyofa";"vy-o-fa";"avunanto";"abetment";"S"
"vyofa";"vy-o-fa";"avunanto";"assistance";"S"
"vyojo";"vy-o-jo";"apulainen";"assistant";"S"
"vyojo";"vy-o-jo";"apulainen";"helper";"S"
"vyojo";"vy-o-jo";"apulainen";"sidekick";"S"
"vyojo";"vy-o-jo";"apulainen";"supporter";"S"
"vyolisa";"vy-o-li-sa";"apuneuvo";"adjunct";"S"
"vyoprog";"vy-o-prog";"apuohjelma";"utility";"S"
"vyoprog";"vy-o-prog";"apuohjelma";"utility program";"S"
"vyopäpöjärjo";"vy-o-pä-pö-jär-jo";"apulaissheriffi";"deputy sheriff";"S"
"vyoretkeejo";"vy-o-ret-kee-jo";"apuhoitaja";"aide";"S"
"vyorokaajo";"vy-o-ro-kaa-jo";"asessori";"assessor";"S"
"vyorov";"vy-o-rov";"apuraha";"award";"S"
"vyorov";"vy-o-rov";"apuraha";"bursary";"S"
"vyorov";"vy-o-rov";"apuraha";"scholarship";"S"
"vyorovsi";"vy-o-rov-si";"apurahat";"grants";"S"
"vyoseekte";"vy-o-seek-te";"avun hakeminen";"seeking help";"S"
"vyoussajo";"vy-o-us-sa-jo";"apulaispappi";"curate";"S"
"vyovo";"vy-o-vo";"apuväline";"auxiliary device";"S"
"vypötusaajo";"vy-pö-tu-saa-jo";"käskynhaltija";"deputy";"S"
"vyrote";"vy-ro-te";"edistys";"advance";"S"
"vyrote";"vy-ro-te";"edistys";"progress";"S"
"vyrote";"vy-ro-te";"edistys";"progression";"S"
"vyrotee";"vy-ro-tee";"edistää";"advance";"V"
"vyrotee";"vy-ro-tee";"edistää";"boost";"V"
"vyrotee";"vy-ro-tee";"edistää";"contribute";"V"
"vyrotee";"vy-ro-tee";"edistää";"encourage";"V"
"vyrotee";"vy-ro-tee";"edistää";"foster";"V"
"vyrotee";"vy-ro-tee";"edistää";"further";"V"
"vyrotee";"vy-ro-tee";"edistää";"promote";"V"
"vyroteejo";"vy-ro-tee-jo";"edistäjä";"plugger";"S"
"vyroteejo";"vy-ro-tee-jo";"edistäjä";"promoter";"S"
"vyroteete";"vy-ro-tee-te";"edistäminen";"fostering";"S"
"vyroteete";"vy-ro-tee-te";"edistäminen";"furtherance";"S"
"vyroteete";"vy-ro-tee-te";"edistäminen";"promoting";"S"
"vyroteete";"vy-ro-tee-te";"edistäminen";"promotion";"S"
"vyroteeva";"vy-ro-tee-va";"edistävä";"conducive";"A"
"vyroteliva";"vy-ro-te-li-va";"edistyksellinen";"advanced";"A"
"vyroteliva";"vy-ro-te-li-va";"edistyksellinen";"progressive";"A"
"vyrotemiva";"vy-ro-te-mi-va";"edistysmielinen";"progressive";"A"
"vyrotetuoväl";"vy-ro-te-tuo-väl";"edistysaskel";"advance";"S"
"vyrotetuoväl";"vy-ro-te-tuo-väl";"edistysaskel";"advancement";"S"
"vyrotetuoväl";"vy-ro-te-tuo-väl";"edistysaskel";"forward motion";"S"
"vyrotetuoväl";"vy-ro-te-tuo-väl";"edistysaskel";"onward motion";"S"
"vyrotetuoväl";"vy-ro-te-tuo-väl";"edistysaskel";"step forward";"S"
"vyrovfaajo";"vy-rov-faa-jo";"kummi";"sponsor";"S"
"vyrovfaajo";"vy-rov-faa-jo";"sponsori";"sponsor";"S"
"vyrovfaate";"vy-rov-faa-te";"sponsorointi";"sponsoring";"S"
"vyrovfaate";"vy-rov-faa-te";"sponsorointi";"sponsorship";"S"
"vysa";"vy-sa";"partikkeli";"particle";"S"
"vysotöjo";"vy-so-tö-jo";"sihteeri";"secretary";"S"
"vysotöjo";"vy-so-tö-jo";"sihteeri-";"secretarial";"S"
"vysotöjosio";"vy-so-tö-jo-si-o";"sihteeristö";"secretariat";"S"
"vytu";"vy-tu";"varaan";"by";"P"
"vytu";"vy-tu";"varaan";"on";"P"
"vytuasasii";"vy-tua-sa-sii";"lausua toisin sanoin";"paraphrase";"V"
"vytuasasii";"vy-tua-sa-sii";"lausua toisin sanoin";"rephrase";"V"
"vytuasasii";"vy-tua-sa-sii";"lausua toisin sanoin";"reword";"V"
"vyvissa";"vy-vis-sa";"vihjaus";"allusion";"S"
"vyvissa";"vy-vis-sa";"vihjaus";"insinuation";"S"
"vyvissa";"vy-vis-sa";"vihje";"clue";"S"
"vyvissa";"vy-vis-sa";"vihje";"cue";"S"
"vyvissa";"vy-vis-sa";"vihje";"hint";"S"
"vyvissa";"vy-vis-sa";"vihje";"intimation";"S"
"vyvissa";"vy-vis-sa";"vihje";"tip";"S"
"vyvissaa";"vy-vis-saa";"vihjata";"hint";"V"
"vyvissaa";"vy-vis-saa";"vihjata";"insinuate";"V"
"vyvissaate";"vy-vis-saa-te";"vihjailu";"innuendo";"S"
"vyvissaate";"vy-vis-saa-te";"vihjailu";"insinuation";"S"
"vyvissaava";"vy-vis-saa-va";"vihjaileva";"insinuating";"A"
"vyvissaava";"vy-vis-saa-va";"vihjaileva";"suggestive";"A"
"vyy";"vyy";"auttaa";"aid";"V"
"vyy";"vyy";"auttaa";"assist";"V"
"vyy";"vyy";"auttaa";"bear a hand";"V"
"vyy";"vyy";"auttaa";"enable";"V"
"vyy";"vyy";"auttaa";"help";"V"
"vyy";"vyy";"auttaa";"help out";"V"
"vyy";"vyy";"auttaa";"improve";"V"
"vyy";"vyy";"auttaa";"lend a hand";"V"
"vyy";"vyy";"auttaa";"succor";"V"
"vyy";"vyy";"auttaa";"support";"V"
"vyy ja";"vyy ja";"auta";"help";"V"
"vyy jasi";"vyy ja-si";"auttakaa";"please help";"V"
"vyyejli";"vyy-ej-li";"auttamattomasti";"irretrievably";"D"
"vyyen";"vyy-en";"auttoi";"helped";"V"
"vyyjo";"vyy-jo";"amanuenssi";"assistant";"S"
"vyyjo";"vyy-jo";"apumies";"helper";"S"
"vyyjo";"vyy-jo";"apuri";"assistant";"S"
"vyyjo";"vyy-jo";"apuri";"helper";"S"
"vyyjo";"vyy-jo";"apuri";"sidekick";"S"
"vyyjo";"vyy-jo";"assistentti";"assistant";"S"
"vyyjo";"vyy-jo";"auttaja";"helper";"S"
"vyyjo";"vyy-jo";"auttaja";"helpmate";"S"
"vyyli";"vyy-li";"auttavasti";"helpfully";"D"
"vyynen";"vyy-nen";"auttamassa";"aiding";"V"
"vyyte";"vyy-te";"auttaminen";"helping";"S"
"vyyva";"vyy-va";"auttava";"auxiliary";"A"
"vyyva";"vyy-va";"auttava";"instrumental";"A"
"vä";"vä";"jalo";"noble";"S"
"vä";"vä";"jalo";"worthy";"S"
"väephaar";"vä-ep-haar";"ympätä";"engraft";"V"
"väförpu";"vä-för-pu";"jalokuusi";"noble fir";"S"
"väförpu";"vä-för-pu";"jalokuusi";"siver fir";"S"
"vähapmilk";"vä-hap-milk";"jogurtti";"yoghourt";"S"
"vähapmilk";"vä-hap-milk";"jogurtti";"yoghurt";"S"
"vähapmilk";"vä-hap-milk";"jogurtti";"yogurt";"S"
"vähapmilk";"vä-hap-milk";"jugurtti";"yoghurt";"S"
"vähapmilk";"vä-hap-milk";"kefiiri";"kefir";"S"
"väjoejjo";"vä-jo-ej-jo";"aateliton";"commoner";"S"
"väjoejjosi";"vä-jo-ej-jo-si";"aatelittomat";"commonalty";"S"
"väjoejjosi";"vä-jo-ej-jo-si";"aatelittomat";"commons";"S"
"väjoejva";"vä-jo-ej-va";"aateliton";"not of noble birth";"A"
"väjomuu";"vä-jo-muu";"aateloida";"ennoble";"V"
"väjomuu";"vä-jo-muu";"aateloida";"raise to the nobility";"V"
"väjomuu";"vä-jo-muu";"aateloida";"raise to the peerage";"V"
"väjomä";"vä-jo-mä";"aatelismies";"gentleman";"S"
"väjomä";"vä-jo-mä";"aatelismies";"nobleman";"S"
"väjopivillö";"vä-jo-pi-vil-lö";"aateliskartano";"noble manor";"S"
"väjoro";"vä-jo-ro";"aatelisarvo";"noble rank";"S"
"väjoro";"vä-jo-ro";"aatelisarvo";"peerage";"S"
"väjosi";"vä-jo-si";"aateliset";"nobles";"S"
"väjosio";"vä-jo-si-o";"aateli";"nobility";"S"
"väjosio";"vä-jo-si-o";"aatelisto";"nobility";"S"
"väjova";"vä-jo-va";"aatelinen";"aristocratic";"A"
"väjova";"vä-jo-va";"aatelinen";"noble";"A"
"väjova";"vä-jo-va";"aatelinen";"nobleman";"A"
"väjovao";"vä-jo-va-o";"aateluus";"nobility";"S"
"väjoäm";"vä-jo-äm";"aatelisnainen";"noblewoman";"S"
"väkaaen";"vä-kaa-en";"hienostunut";"debonair";"V"
"väkaaen";"vä-kaa-en";"hienostunut";"elegant";"V"
"väkaaen";"vä-kaa-en";"hienostunut";"ladylike";"V"
"väkaaen";"vä-kaa-en";"hienostunut";"refined";"V"
"väkaaen";"vä-kaa-en";"hienostunut";"sophisticate";"V"
"väkaaen";"vä-kaa-en";"hienostunut";"sophisticated";"V"
"väkaavao";"vä-kaa-va-o";"hienostuneisuus";"cultivation";"S"
"väkaavao";"vä-kaa-va-o";"hienostuneisuus";"culture";"S"
"väkaavao";"vä-kaa-va-o";"hienostuneisuus";"polish";"S"
"väkaavao";"vä-kaa-va-o";"hienostuneisuus";"refinement";"S"
"väkafili";"vä-ka-fi-li";"hienotunteisesti";"tactfully";"D"
"väkafiva";"vä-ka-fi-va";"hienotunteinen";"discreet";"A"
"väkafivao";"vä-ka-fi-va-o";"hienotunteisuus";"discretion";"S"
"väkajosio";"vä-ka-jo-si-o";"hienosto";"smart set";"S"
"väkali";"vä-ka-li";"hienosti";"beautifully";"D"
"väkali";"vä-ka-li";"hienosti";"exquisitely";"D"
"väkali";"vä-ka-li";"hienosti";"finely";"D"
"väkali";"vä-ka-li";"hienosti";"nicely";"D"
"väkam";"vä-kam";"jalokivi";"gem";"S"
"väkam";"vä-kam";"jalokivi";"gemstone";"S"
"väkam";"vä-kam";"jalokivi";"jewel";"S"
"väkamdajo";"vä-kam-da-jo";"gemmologi";"gemmologist";"S"
"väkamrokavo";"vä-kam-ro-ka-vo";"jalokivikoru";"jewellery";"S"
"väkamrokavo";"vä-kam-ro-ka-vo";"jalokivikoru";"jewelry";"S"
"väkapiir";"vä-ka-piir";"hienostua";"become refined";"V"
"väkapir";"vä-ka-pir";"hienompi";"finer";"A"
"väkaresli";"vä-ka-res-li";"hienovaraisesti";"daintily";"D"
"väkaresli";"vä-ka-res-li";"hienovaraisesti";"delicately";"D"
"väkaresli";"vä-ka-res-li";"hienovaraisesti";"subtilly";"D"
"väkaresli";"vä-ka-res-li";"hienovaraisesti";"subtly";"D"
"väkaresva";"vä-ka-res-va";"hienovarainen";"subtile";"A"
"väkaresva";"vä-ka-res-va";"hienovarainen";"subtle";"A"
"väkaresva";"vä-ka-res-va";"hienovarainen";"unsubtle";"A"
"väkaresvao";"vä-ka-res-va-o";"hienovaraisuus";"appreciation";"S"
"väkaresvao";"vä-ka-res-va-o";"hienovaraisuus";"subtilty";"S"
"väkaresvao";"vä-ka-res-va-o";"hienovaraisuus";"tact";"S"
"väkaresvao";"vä-ka-res-va-o";"hienovaraisuus";"taste";"S"
"väkast";"vä-ka-st";"hienoin";"finest";"A"
"väkast";"vä-ka-st";"hienoin";"nicest";"A"
"väkava";"vä-ka-va";"hieno";"beautiful";"A"
"väkava";"vä-ka-va";"hieno";"elegant";"A"
"väkava";"vä-ka-va";"hieno";"exclusive";"A"
"väkava";"vä-ka-va";"hieno";"exquisite";"A"
"väkava";"vä-ka-va";"hieno";"fine";"A"
"väkava";"vä-ka-va";"hieno";"graceful";"A"
"väkava";"vä-ka-va";"hieno";"nice";"A"
"väkava";"vä-ka-va";"hieno";"posh";"A"
"väkava";"vä-ka-va";"hieno";"pretty";"A"
"väkava";"vä-ka-va";"hieno";"pukka";"A"
"väkava";"vä-ka-va";"hieno";"refined";"A"
"väkavao";"vä-ka-va-o";"hienous";"fineness";"S"
"väkavao";"vä-ka-va-o";"hienous";"finesse";"S"
"väkavao";"vä-ka-va-o";"hienous";"gentility";"S"
