Vosa	VosaParts	Finsi	Engsi
utrovolkato	ut-ro-vol-ka-to	tulostaulu	scoreboard
kirvolkato	kir-vol-ka-to	kirjoitustaulu	writing board
usofosvolkato	us-of-os-vol-ka-to	alttaritaulu	altarpiece
eokato	e-o-ka-to	leffa; elokuva; filmi	moving picture; cinema; pic; picture show; motion picture; film; flick; movie
daeokato	da-e-o-ka-to	dokumenttielokuva; dokumentti	documentary
kate-eokato	ka-te-e-o-ka-to	piirroselokuva; piirrosfilmi	cartoon; animated cartoon
hireokato	hir-e-o-ka-to	kauhuelokuva	horror film
veteokato	vet-e-o-ka-to	lännenfilmi	western
kiokato	kio-ka-to	kokonaiskuva	overall picture
hajokato	ha-jo-ka-to	jumalankuva	image of god
hojokato	ho-jo-ka-to	henkilökuva	portrait; portraiture; profile
oblokato	ob-lo-ka-to	maalitaulu	target
tokato	to-ka-to	tuotekuva	brand image
kuokato	kuo-ka-to	korkokuva; reliefi	emboss; relief
siapkato	si-ap-ka-to	valikoima	assortment; choice; selection
kirsiapkato	kir-si-ap-ka-to	antologia	anthology
ipkato	ip-ka-to	miniatyyri; pienoiskuva; kuvake	icon; miniature
dipkato	dip-ka-to	hologrammi	hologram
usipkato	us-ip-ka-to	ikoni	icon
erkato	er-ka-to	vertauskuva	allegory; metaphor; symbol
beskato	bes-ka-to	arkkityyppi; perikuva	archetype
katkato	kat-ka-to	foto; valokuva	photo; snapshot; pic; photograph
käkatkato	kä-kat-ka-to	värivalokuva	color photograph; colour photo
retkato	ret-ka-to	taudinkuva	clinical picture
autkato	aut-ka-to	omakuva	self portrait
jokaukato	jo-kau-ka-to	muotokuva; potretti	portrait
pikobvoraukato	pik-ob-vo-rau-ka-to	tikkataulu	dartboard
gliukato	gli-u-ka-to	diakuva; dia	chrome; slide; transparency
tukato	tu-ka-to	esite	booklet; white paper; prospectus; pamphlet; leaflet; brochure; folder
notukato	no-tu-ka-to	aikataulu	schedule; timetable
ed notukato	ed no-tu-ka-to	aikataulua edellä	ahead of schedule
katyvkato	kat-yv-ka-to	varjokuva	shadow picture; silhouette
edpäkato	ed-pä-ka-to	kasvokuva	portrait
sökato	sö-ka-to	muistikuva	memory image; mental picture; recollection
lato	la-to	kate	cover; coverage; roofing; backing
pipiirglato	pi-piir-gla-to	suurennuslasi	magnifying glass
allolato	al-lo-la-to	aluskate	underlay
NATO	NA-TO	NATO	NATO
of Nato	of Na-to	Naton	of Nato
tu Nato	tu Nato	Natoon	to Nato
kapato	ka-pa-to	koriste; koriste-; ornamentti	ornamentation; ornamental; ornament; decorative; adornment; decoration
edylpäkapato	ed-yl-pä-ka-pa-to	otsakoriste	diadem
dihpato	dih-pa-to	julkaisu	proceedings; publication; release
hyndihpato	hy-n-dih-pa-to	kuukausijulkaisu	monthly publication
limnodihpato	lim-no-dih-pa-to	aikakausjulkaisu; kausijulkaisu	journal; periodical
laopato	la-o-pa-to	päällyste	coating; covering; pavement
ögpopato	ög-po-pa-to	briketti	briquet
noturpato	no-tur-pa-to	tallenne	record; recording
virupato	vi-ru-pa-to	side; sidos	tie; ligament; bandage; bond; dressing
popevirupato	po-pe-vi-ru-pa-to	riimu	halter
hemovirupato	hemo-vi-ru-pa-to	veriside	blood bond
viorupato	vi-o-ru-pa-to	yhdysside	link; nexus; bond; tie
dihrovpato	dih-rov-pa-to	kustanne	publication
lijesato	li-je-sa-to	väitös	claim; dissertation defense; thesis
ennesato	en-ne-sa-to	horoskooppi	horoscope; zodiac
sisato	si-sa-to	sanasto	lexicon; vocabulary; glossary
devstato	dev-sta-to	versio	version
obto	ob-to	artikkeli	article
ögsähobto	ög-säh-ob-to	resistori	resistor
sähruobto	säh-ru-ob-to	pistorasia	wall socket; electric outlet; outlet; power outlet; socket
nidto	nid-to	tarvike	merchandise
eonidto	e-o-nid-to	elintarvike	foodstuff; grocery; food
pirnidto	pir-nid-to	lisävaruste	appurtenance; option; accessory
sidto	sid-to	sivutuote	byproduct; by-product
kädto	käd-to	mainos-; mainos	ad; commercial; advertisement; blurb
kadelaokirkädto	ka-de-la-o-kir-käd-to	takakansimainos	blurb
rorijeto	ro-ri-je-to	kuitti	receipt
rovfarorijeto	rov-fa-ro-ri-je-to	kassakuitti; maksukuitti	cash receipt; paying-in slip
reto	re-to	klooni	clone
teto	te-to	artefakti; tekotuote	artefact; artifact
kateto	ka-te-to	piirros; piirustus	drawing; graph
tarlekkateto	tar-lek-ka-te-to	pilapiirros	caricature; cartoon
tolkateto	tol-ka-te-to	rakennuspiirustus	construction drawing
pukateto	pu-ka-te-to	puupiirros	woodcut
paveto	pa-ve-to	kinnas; käsine; rukkanen	mitten; glove
vulpaveto	vul-pa-ve-to	lapanen	mitten
laevmopaveto	la-ev-mo-pa-ve-to	rukkanen	leather mitten
tuveto	tu-ve-to	jalkine; kenkä	footwear; shoe
popetuveto	po-pe-tu-ve-to	hevosenkenkä	horseshoe; horse shoe
nituveto	ni-tu-ve-to	tohveli	slipper
vultuveto	vul-tu-ve-to	tossu; töppönen	slipper; felt slipper; shoe
lumtuveto	lum-tu-ve-to	lumikenkä	snowshoe
alotuveto	al-o-tu-ve-to	sandaali	sandal
lumtuvootuveto	lum-tu-voo-tu-ve-to	hiihtokenkä	ski boot; skiing shoe
lutuveto	lu-tu-ve-to	saapas	boot
iplutuveto	ip-lu-tu-ve-to	saapikas	bootee
rouplutuveto	roup-lu-tu-ve-to	lapikas	shoepack
routuveto	ro-u-tu-ve-to	tossu; lenkkari	sneaker
pöafto	pö-af-to	lisenssi	licence; license
otepöafto	o-te-pö-af-to	toimilupa	concession; franchise
nihylpöafto	ni-hy-l-pö-af-to	viisumi	visa
hojopöafto	ho-jo-pö-af-to	passi	passport
sioopöafto	si-oo-pö-af-to	oleskelulupa	residence permit
katuopöafto	ka-tuo-pö-af-to	ajokortti	driving licence; driving license
tuutpöafto	tuut-pö-af-to	kulkulupa	pass; transit permit
kirgaosefto	kir-ga-o-sef-to	kirjekuori	envelope
aurlosefto	aur-lo-sef-to	markiisi	awning
inlikaedpäsefto	in-li-ka-ed-pä-sef-to	visiiri	visor
ofto	of-to	tavara	luggage
emofto	em-of-to	ruokatavara	grocery
ipofto	ip-of-to	pikkutavara	small items
rotuofto	ro-tu-of-to	matkatavara	luggage; baggage
äfto	äf-to	ostos	purchase; shopping
fäfto	fäf-to	tavara	goods; wares
hängto	häng-to	riipus	pendant
sefmägto	sef-mäg-to	amuletti	amulet
hönauhto	hö-nauh-to	kasetti	cassette
hönauuhto	hö-nauuh-to	nauhoite	recording
ögsähto	ög-säh-to	vastus	resistor
juspaögsähto	jus-pa-ög-säh-to	potentiometri	potentiometer
lakriögsähto	lak-ri-ög-säh-to	termistori	thermistor
duiksähto	du-ik-säh-to	transistori	transistor
kayyven fraito	ka-yyv-en frai-to	gratiini	gratin
leito	lei-to	levy	board; plate; slab
laleito	la-lei-to	levy	panel
pukvaleito	pu-kva-lei-to	parketti	parquet
sähraurileito	säh-rau-ri-lei-to	piirilevy	circuit board
käräjleito	kä-räj-lei-to	paletti	palette
bönkleito	bön-klei-to	savitiili; tiili	brick; clay brick
yltalbönkleito	yl-tal-bön-klei-to	kattotiili	roof tile; roofing tile
smokleito	smok-lei-to	savupelti	smoke damper
korkleito	kork-lei-to	korkkilevy	cork board
leylleito	le-yl-lei-to	laminaatti	laminate
välleito	väl-lei-to	välilevy	spacer plate; shim
amleito	am-lei-to	emolevy	mainboard; motherboard
kamleito	kam-lei-to	kovalevy	hardboard
tinleito	tin-lei-to	lamelli	lamella
aloleito	al-o-lei-to	pohjalevy	baseplate
laosleito	la-os-lei-to	pöytälevy	tabletop
metleito	met-lei-to	metallilevy; pelti	tin plate; metal sheet; sheet metal
veivmetleito	veiv-met-lei-to	aaltopelti	corrugated iron
vömetleito	vö-met-lei-to	konepelti	bonnet; hood
rauleito	rau-lei-to	levy	disc; disk; record
viparauleito	vi-pa-rau-lei-to	kytkinlevy	clutch plate
tihrauleito	tih-rau-lei-to	CD-levy	CD disc
kamrauleito	kam-rau-lei-to	kovalevy	hard disk
rumrauleito	rum-rau-lei-to	kiintolevy	hard disk
taiprauleito	taip-rau-lei-to	lerppu; levyke	diskette; flexible disk; floppy; floppy disk
höleito	hö-lei-to	äänilevy	sound disc; audio disk; record
nohamiito	no-ha-mii-to	viihdyke	diversion
lito	li-to	konsepti	concept
relito	re-li-to	replika; jäljennös; kopio	copy; replica; transcript
ahrelito	ah-re-li-to	plagiaatti	crib
sirelito	si-re-li-to	moniste	handout
darikrelito	da-rik-re-li-to	luentomoniste	handout
varmrelito	varm-re-li-to	varmuuskopio	backup; backup copy
katrelito	kat-re-li-to	valokopio	photocopy; photostat
hevrito	hev-ri-to	punnus	weight
kamsito	kam-si-to	kivitavara	stoneware
kirsito	kir-si-to	kirjallisuus	literature
dakirsito	da-kir-si-to	tietokirjallisuus	nonfiction
kakirsito	ka-kir-si-to	kaunokirjallisuus	belles lettres; fiction; literature
nohamiokirsito	no-ha-mi-o-kir-si-to	viihdekirjallisuus	light reading; popular literature
däkirsito	dä-kir-si-to	tieteiskirjallisuus	science fiction
sinidejto	si-nid-ej-to	krääsä; roina; roju	debris; junk; rubbish; trash
heii tu sinidejto	heii tu si-nid-ej-to	heittää menemään	junk
ipräjto	ip-räj-to	tavara	sundries
bekto	bek-to	leivonnainen; leivos	baked food; fancy cake; pastry
egipylbekto	eg-ip-yl-bek-to	kohokas	souffle
ipfultobekto	ip-ful-to-bek-to	pasteija	pasty; patty
kalmporeekto	kalm-po-reek-to	jäämurska	crushed ice
rekto	rek-to	säpäle	splinter
vatrekto	vat-rek-to	riekale	shred
ikto	ik-to	komponentti	component
resikto	res-ik-to	varaosa	spare part
kutikto	kut-ik-to	viipale	slice
tinröhmitkutikto	tin-röh-mit-kut-ik-to	ohut pekoniviipale	rasher
luikto	lu-ik-to	pötkö	bar
milkto	milk-to	maitotuote	dairy product; milk product
markto	mark-to	merkkituote	branded article
sömarkto	sö-mark-to	monumentti	monument
sikukto	si-kuk-to	kranssi; kukkaseppele; seppele	garland; wreath; coronal
ouukto	ouuk-to	koverrus	concavity; hollowing out
päkto	päk-to	pakkaus	pack; packing; package; packaging
darilto	da-ril-to	todiste	evidence; proof; voucher
oo li darilto	oo li da-ril-to	olla todisteena	be evidence
litolto	li-tol-to	rakennelma	construction; structure
fulto	ful-to	täyte	topping; stuffing; filler; filling
for fulto	for ful-to	täytteeksi	for filling
makepvulfulto	mak-ep-vul-ful-to	vanutäyte	wadding
kiorihylto	kio-ri-hy-l-to	bruttokansantuote	gross domestic product
pumleiylto	pum-lei-yl-to	vaneri	veneer; plywood
välto	väl-to	välike	spacer
obiskamto	ob-is-kam-to	monoliitti	monolith
lavamto	la-vam-to	koho	bob; float
fislulavamto	fis-lu-la-vam-to	ongenkoho	bobber
fraiepemto	frai-ep-em-to	kasvispihvi	vegetable patty
dimto	dim-to	reunus	rimming; mantelshelf; welt; border; edging; trimming; edge; ledge
ängdimto	äng-dim-to	prisma	prism
puplimto	pup-lim-to	pensasaita	hedgerow; hedge
dirlimto	dir-lim-to	kaide	handrail; parapet; railing
usofosdirlimto	us-of-os-dir-lim-to	alttarikaide	altar railing
yvlimto	yv-lim-to	esteaita	hurdle
toonento	too-nen-to	aihio	billet; moulded blank
tenöbönto	te-nö-bön-to	sytyke	fire lighter; kindling
laoto	la-o-to	päällinen; päällys	casing; cover
tinlaoto	tin-la-o-to	kalvo; kelmu	foil; membrane; film; cuticula; cellophane; pellicle
kaumotinlaoto	kau-mo-tin-la-o-to	muovikelmu	plastic wrap
metlaoto	met-la-o-to	folio	foil
emvaoto	em-va-o-to	dieetti; ruokavalio	diet
bioto	bio-to	luontaistuote; luonnontuote	natural product; health food
kaloto	ka-lo-to	kartta	map
sikaloto	si-ka-lo-to	kartasto	atlas
tulkaloto	tul-ka-lo-to	tiekartta	road map
nuliskaloto	nul-is-ka-lo-to	bittikartta	bitmap
hösloto	hö-slo-to	äänite	recording
nöloto	nö-lo-to	aluke	primer
moto	mo-to	tavara	stuff
urmoto	ur-mo-to	uute	extract
vatmoto	vat-mo-to	tekstiili	textile
kämoto	kä-mo-to	maalaus	painting
volkämoto	vol-kä-mo-to	fresko; seinämaalaus	fresco; mural
eihlaokämoto	eih-la-o-kä-mo-to	pastelli	pastel
satooto	sa-too-to	sepite	composition; fabrication; fiction
ideavooto	idea-voo-to	keksintö	figment; innovation; invention
göroto	gö-ro-to	hyödyke; tavara	commodity
kasoto	ka-so-to	suunnitelma	blueprint; design; pattern; plan; scheme
fäfote kasoto	fäf-o-te ka-so-to	liiketoimintasuunnitelma	business plan
tihnakasoto	tih-na-ka-so-to	yleissuunnitelma	overall plan
oteekasoto	o-tee-ka-so-to	toimintasuunnitelma	operating plan
riikkasoto	riik-ka-so-to	lukusuunnitelma	reading plan
culokasoto	cu-lo-ka-so-to	asemakaava	plan
rotuokasoto	ro-tuo-ka-so-to	matkasuunnitelma	itinerary
padavkasoto	pa-dav-ka-so-to	opetussuunnitelma; lukusuunnitelma	curriculum; syllabus
apdavkasoto	ap-dav-ka-so-to	opintosuunnitelma	study plan
tesoto	te-so-to	mietintö	committee report
risoto	ri-so-to	laskelma	calculation
utrorisoto	ut-ro-ri-so-to	tuloslaskelma	income statement; profit and loss account
törovrisoto	tö-rov-ri-so-to	palkkalaskelma	wage slip; pay slip; payroll
pösoto	pö-so-to	säädös	ordinance; statute; edict; act; enactment
sösoto	sö-so-to	muistio	memo; memoranda; memorandum; notepad
kuoto	kuo-to	kupu	hood
kuoskuoto	ku-os-kuo-to	liesikupu	hood; stove hood
temuoto	te-mu-o-to	muunnelma; muunnos	modification; transformation; variant
ipmaapto	ip-maap-to	kaiverrus	engraving
tobepto	tob-ep-to	savuke; tupakka	cigarette
rotobepto	ro-tob-ep-to	sikari	cigar
silaurepto	si-laur-ep-to	laakeriseppele	laurel-wreath; laurel; laurel wreath
kaukavipto	kau-kav-ip-to	pienoisveistos	statuette
sopto	sop-to	passeli	suitable thing
edsopto	ed-sop-to	esisopimus	pre-contract
lonfäfsopto	lon-fäf-sop-to	vuokrasopimus	lease; rental contract; tenancy agreement
visopto	vi-sop-to	sopimus	covenant; treaty; deal; contract; compact; bargain; agreement; pact
tihnavisopto	tih-na-vi-sop-to	yleissopimus	convention; general agreement
nesotevisopto	ne-so-te-vi-sop-to	aiesopimus	letter of intent
forafvisopto	for-af-vi-sop-to	hankintasopimus	acquisition agreement
fäfvisopto	fäf-vi-sop-to	kauppasopimus	business deal; trade agreement; trade deal
postuuejvisopto	pos-tuu-ej-vi-sop-to	hyökkäämättömyyssopimus	nonaggression pact
pöhylvisopto	pö-hy-l-vi-sop-to	valtiosopimus	convention; state treaty
pisvisopto	pis-vi-sop-to	rauhansopimus	peace treaty
tövisopto	tö-vi-sop-to	työsopimus	contract of employment
forsopto	for-sop-to	sovite	adapter
daforsopto	da-for-sop-to	sovellus	app; application
vipösopto	vi-pö-sop-to	liittosopimus	articles of confederation
vitösopto	vi-tö-sop-to	yhteistyösopimus	cooperation agreement
sähdirto	säh-dir-to	johdin; piuha	wire; conductor
pisähdirto	pi-säh-dir-to	kaapeli	cable
pirsähdirto	pir-säh-dir-to	jatkojohto; roikka	extension cord
vioapdirto	vi-o-ap-dir-to	ajojohto; ajolanka	driving wire; contact wire; driving lead
torvdiirto	torv-diir-to	putkijohto	pipeline
kapiirto	ka-piir-to	ehoste	makeup
kirto	kir-to	kirja	book
öb kirto	öb kir-to	kirjasta	about the book
Isva Mosesof kirto	Is-va Moses-of kir-to	Ensimmäinen Mooseksen kirja	Genesis
hugagri kirto	hu-gag-ri kir-to	lentorahtikirja	airway bill
serikato kirto	se-ri-ka-to kir-to	sarjakuvakirja	comic book
dakirto	da-kir-to	tietokirja	nonfiction book
lidakirto	li-da-kir-to	ohjekirja	instruction manual; manual
kakirto	ka-kir-to	romaani	novel
isvakakirto	is-va-ka-kir-to	esikoisromaani	first novel
ipkakirto	ip-ka-kir-to	pienoisromaani; novelli	novelette; novella; short story
sakirto	sa-kir-to	sanakirja	wordbook; lexicon; dictionary
ut sakirto	ut sa-kir-to	sanakirjasta	from the dictionary
dasakirto	da-sa-kir-to	tietosanakirja	encyclopaedia; encyclopedia; encyclopedic
lijesakirto	li-je-sa-kir-to	väitöskirja	dissertation
katosakirto	ka-to-sa-kir-to	kuvasanakirja	picture dictionary
feösakirto	feö-sa-kir-to	satukirja	storybook
hösakirto	hö-sa-kir-to	laulukirja	songbook; song book
ushösakirto	us-hö-sa-kir-to	virsikirja	hymn book; hymnal
kutobkirto	kut-ob-kir-to	leikekirja	scrapbook
stakekirto	sta-ke-kir-to	huoltokirja	servicing manual
vekirto	ve-kir-to	jäsenkirja	membership book
pavekirto	pa-ve-kir-to	käsikirja	handbook; manual; compendium
usteafkirto	us-te-af-kir-to	rukouskirja	breviary; prayer book
vatinbägkirto	va-tin-bäg-kir-to	taskukirja	pocketbook
sipyhkirto	si-pyh-kir-to	kaanon	canon
pikirto	pi-kir-to	opus	tome
tanrikirto	tan-ri-kir-to	allakka; almanakka	almanac
ipmakkirto	ip-mak-kir-to	pokkari; taskukirja	paperback
sekkirto	sek-kir-to	hakuteos	reference book
kuemkirto	ku-em-kir-to	keittokirja	cookbook
ipmämkirto	ip-mäm-kir-to	lastenkirja	children's book
Korankirto	Koran-kir-to	Koraani	Koran
tankirto	tan-kir-to	päiväkirja	journal; datebook; daybook; diary
jänkirto	jä-n-kir-to	vuosikirja	annual; yearbook
vifarjokirto	vi-far-jo-kir-to	vieraskirja	guestbook; visitors' book
allokirto	al-lo-kir-to	aapinen	primer
nokirto	no-kir-to	kronikka	chronicle
limnokirto	lim-no-kir-to	aikakauskirja	journal
ipkirto	ip-kir-to	kirjanen	booklet
ustolserkirto	us-tol-ser-kir-to	kirkkokäsikirja	Book of Sacred Acts; Church Service Book
faofurkirto	fa-of-ur-kir-to	luovutuskirja	deed of conveyance
uskirto	us-kir-to	Biblia; raamattu; raamatun	bible; Holy Writ; scriptural
pyhva uskirto	pyh-va us-kir-to	pyhä raamattu	Holy Bible
sadkauutkirto	sad-ka-uut-kir-to	ilmestyskirja	Book of Revelation
davkirto	dav-kir-to	oppikirja	textbook
in davkirto	in dav-kir-to	oppikirjassa	in the textbook
tudavkirto	tu-dav-kir-to	opaskirjanen; opas; opaskirja	handbook; manual; guidebook
pitrovkirto	pit-rov-kir-to	velkakirja	IOU; promissory note
päkirto	pä-kir-to	pääkirja	ledger
a-ökirto	a-ö-kir-to	aapinen	ABC-book
hökirto	hö-kir-to	äänikirja	audiobook
pökirto	pö-kir-to	valtakirja	credential; credentials; power of attorney; warrant
sökirto	sö-kir-to	muistikirja; muistilehtiö	notebook; notepad
dasökirto	da-sö-kir-to	lokikirja	logbook
ipsökirto	ip-sö-kir-to	vihko; kirjoitusvihko	copybook; exercise-book; notebook; notepad
tökirto	tö-kir-to	työkirja	workbook
pirto	pir-to	jatkos	splicing
povopirto	po-vo-pir-to	vahviste	reinforcement
orto	or-to	romu	debris; scrap; junk; lumber
tuvöorto	tu-vö-or-to	autonromu	crock
förto	för-to	turkis	fur
laevförto	la-ev-för-to	talja; vuota	fur; hide; pelt
basto	ba-s-to	kymppi	tenner
gesto	ges-to	arpa	die; lot; dice; raffle ticket
sähresto	säh-res-to	paristo	battery
lakresto	lak-res-to	lämpöpatteri	radiator
siosto	si-os-to	tavara	things
dausto	da-us-to	hypoteesi	hypothesis
tepoysto	te-po-ys-to	virvoke	refresher
latto	lat-to	kaakeli; laatta	plaque; slab; tile
leilatto	lei-lat-to	liuskelaatta	slate slab
lytallatto	ly-tal-lat-to	lattialaatta	floor tile
vollatto	vol-lat-to	seinälaatta	wall tile
sölatto	sö-lat-to	muistolaatta	commemorative plaque
yvmetto	yv-met-to	panssari	armour; mail; armor; tank
fraimitto	frai-mit-to	pihvi	beefsteak; steak
lumitto	lu-mit-to	makkara	sausage
hemolumitto	hemo-lu-mit-to	verimakkara	blood sausage
iplumitto	ip-lu-mit-to	nakki	wiener; frankfurter; hot dog; small sausage
raulumitto	rau-lu-mit-to	lenkkimakkara	ring-shaped sausage
joosknitto	joos-knit-to	joustinneule	rib; rib-knit
moAgAuknitto	mo-Ag-Au-knit-to	filigraani	filigree
fiiltto	fiilt-to	suodos	filtrate
kutto	kut-to	terä	blade
leusiheörvokutto	leu-si-heör-vo-kut-to	partaterä	razor blade
kaukutto	kau-kut-to	veistos	statue; sculpture
leusiheörvökutto	leu-si-heör-vö-kut-to	partakoneenterä	razor blade
sutto	sut-to	ammus; patruuna	bullet; cartridge; charge; grenade; projectile; shell; shot
kransutto	kran-sut-to	kranaatti	grenade; shell
pavekransutto	pa-ve-kran-sut-to	käsikranaatti	hand grenade
sutvösutto	sut-vö-sut-to	tykinammus	shell
hyjhöfrikauto	hy-j-hö-fri-kau-to	rapsodia	rhapsody
vamkauto	vam-kau-to	vesipatsas	waterspout
moCuSnkauto	mo-Cu-Sn-kau-to	pronssipatsas	bronze statue
hökauto	hö-kau-to	kompositio; sävellys	composition; musical composition
rauto	rau-to	pyörä; ratas	caster; castor; wheel
darauto	da-rau-to	disketti	floppy; disk; diskette
midrauto	mid-rau-to	kiertoakseli; akseli; kara	mandrel; pivot; rotation axis; spindle; axis; axel; arbor; shaft; axle
nesobmidrauto	nes-ob-mid-rau-to	nokka-akseli	camshaft
simidrauto	si-mid-rau-to	akselisto; teli	bogie; shafting; truck
potönvomidrauto	po-tön-vo-mid-rau-to	kampiakseli	crankshaft
leidirmidrauto	lei-dir-mid-rau-to	vaaka-akseli	horizontal axis
tisdirmidrauto	tis-dir-mid-rau-to	pystyakseli	vertical axis
ruevmidrauto	ru-ev-mid-rau-to	nivelakseli	flexible drive shaft; rockshaft; cardan shaft; articulated shaft; universal shaft
kaderauto	ka-de-rau-to	takapyörä	back wheel
bitverauto	bit-ve-rau-to	hammaspyörä; hammasratas	cogwheel; gear wheel
poagrauto	po-ag-rau-to	väkipyörä	pulley
hehrauto	heh-rau-to	väkkärä; karuselli	carousel; carrousel; merry-go-round; pinwheel; roundabout; whirligig
noprirauto	nop-ri-rau-to	vauhtipyörä	flywheel
sirauto	si-rau-to	rattaisto	wheels
talsirauto	tal-si-rau-to	tasauspyörästö	differential gear
vuvodevorauto	vu-vo-de-vo-rau-to	ruoriratas	helm
gagvorauto	gag-vo-rau-to	kärrynpyörä	cartwheel
tyrauto	ty-rau-to	juoksupyörä	impeller; running wheel
oukluto	ouk-lu-to	kouru	gutter; trough
dirluto	dir-lu-to	johto	cord
sähmoolte dirluto	säh-mool-te dir-lu-to	maadoitusjohto	earth wire
sähdirluto	säh-dir-lu-to	sähköjohto	electric cord; power cable; power line
moldirluto	mol-dir-lu-to	maajohto	ground lead
nuldirluto	nul-dir-lu-to	nollajohto	neutral wire
vamdirluto	vam-dir-lu-to	vesijohto	water pipe
rudirluto	ru-dir-lu-to	lieka	tether
vilbod hängkamuto	vil-bod häng-ka-mu-to	himmeli	straw mobile
edylpäkamuto	ed-yl-pä-ka-mu-to	diadeemi	diadem
makmuto	mak-mu-to	pehmuste	padding; stuffing
tarmuto	tar-mu-to	väärennös	fake; forgery; counterfeit; imitation
fouto	fou-to	taitos	bend; crimp
tihruto	tih-ru-to	tiiviste	gasket; seal; sealant
vatruto	vat-ru-to	nappi	button
kaknitruto	ka-knit-ru-to	pitsi	lace; lacework
uruto	u-ru-to	sarana	flexible joint; hinge
hokauuto	ho-kauu-to	hahmotelma	rough; sketch
rautuuto	rau-tuu-to	spiraali	helix; spiral
höevrautuuto	hö-ev-rau-tuu-to	kuulosimpukka	cochlea
volkavto	vol-kav-to	taulu	picture; painting
kaukavto	kau-kav-to	patsas	statue
kvaängpik kaukavto	kva-äng-pik kau-kav-to	obeliski	obelisk
pipikaukavto	pi-pi-kau-kav-to	kolossi	colossus
vivto	viv-to	kude	weft; woof
sivivto	si-viv-to	kudelma	knitwork
luvivto	lu-viv-to	punos	braid
torvto	torv-to	putki	conduit; pipe; tube
sitorvto	si-torv-to	putkisto	piping
vamtorvto	vam-torv-to	vesiputki	water pipe
kayvto	ka-yv-to	peite	coverage; tarpaulin; cover; comforter
pikayvto	pi-ka-yv-to	pressu	tarp; tarpaulin
laevrekkayvto	la-ev-rek-ka-yv-to	laastari	bandaid; plaster; patch
vulkayvto	vul-ka-yv-to	huopa; viltti	wrap; blanket; felt; rug
tankayvto	tan-ka-yv-to	päiväpeite	bedspread; counterpane; coverlet
laokayvto	la-o-ka-yv-to	kalvo	coating
sifharheörkayvto	sif-har-heör-ka-yv-to	höyhenpeite	plumage
sonthöövto	sont-hööv-to	sonaatti	sonata
fäto	fä-to	tavara	merchandise
sahfäto	sah-fä-to	sahatavara	lumber; sawn wood; timber
nidejfäto	nid-ej-fä-to	rihkama	bauble; junk
paprfäto	papr-fä-to	paperitavara	stationery
urfäto	ur-fä-to	irtotavara	bulk
li urfäto	li ur-fä-to	irtotavarana	in bulk
pufäto	pu-fä-to	puutavara	timber; lumber
hyyfäto	hyy-fä-to	kiitotavara	express goods
jääto	jää-to	jätös	leavings
kahöto	ka-hö-to	video	video
söto	sö-to	muisto	souvenir
rotuosöto	ro-tuo-sö-to	matkamuisto	souvenir
töto	tö-to	teos	opus; work
vipatöto	vi-pa-tö-to	kollaasi	collage
isvatöto	is-va-tö-to	esikoisteos	first work
ylvojotöto	yl-vo-jo-tö-to	mestariteos	masterpiece
viaptöto	vi-ap-tö-to	kokoomateos	compiled work
bestöto	bes-tö-to	perusteos	principal work
kavtöto	kav-tö-to	taideteos	artwork; work of art
sitesöötöto	si-te-söö-tö-to	muistelmateos	memoir
sitesööto	si-te-söö-to	muistelma	memoir; reminiscence
uo	uo	liike	motility; motion
paa le uo	paa le uo	panna liikkeelle	set in motion
tu uo	tu uo	liikkeelle	to the movement
cuo	cuo	käytös	behavior; deportment; demeanour; demeanor; behaviour; comportment
kaacuo	kaa-cu-o	katsanto	mien
hacuo	ha-cuo	eetos	ethos
senracuo	sen-ra-cuo	erotiikka	eroticism
safnidcuo	saf-nid-cuo	askeetti	ascetic
sidcuo	sid-cuo	syrjintä	discrimination
lieecuo	li-ee-cuo	empaattisuus; empatia	empathy
hahcuo	hah-cuo	etiketti	etiquette
rocuo	ro-cuo	arvostus	esteem; valuation; appreciation; admiration
arcuo	ar-cuo	aggressio	aggression
ahpircuo	ah-pir-cuo	sorto	repression; oppression
evaoahpircuo	e-va-o-ah-pir-cuo	rotusorto	racism
ejuscuo	ej-us-cuo	epäluottamus	distrust; mistrust
hastcuo	ha-st-cuo	optimismi	optimism
ahstcuo	ah-st-cuo	pessimismi	pessimism
sivraucuo	siv-rau-cuo	rieha	happening
leppopiir pöcuo	lep-po-piir pö-cuo	lieventää tuomiota	mitigate the sentence
saduo	sad-u-o	nytkähdys; äkillinen liike	sudden movement
teviduo	te-vi-du-o	paritus; parinmuodostus	coupling; pairing
miteuo	mi-te-u-o	mielenliikutus	excitement; emotion
huo	hu-o	lento	flight
livotehuo	li-vo-te-huo	taitolento	aerobatics
yllihuo	yl-li-huo	ylilento	overflight
sihuo	si-huo	lentue	flight
obkuo	ob-kuo	myhky	swelling
solkuo	sol-kuo	solurakkula	vacuole
kaikluo	ka-ik-lu-o	rantu; viiru; raita	stripe; track; streak
kalkkaikluo	kalk-ka-ik-lu-o	liituraita	pinstripe
hökaikluo	hö-ka-ik-lu-o	ääniraita	soundtrack
tuluo	tu-lu-o	viite	reference; suggestion; footnote; clue
käluo	kä-lu-o	laikku	blotch; macula; spot
homstamuo	hom-sta-mu-o	ilmastonmuutos	climate change
bodmuo	bod-mu-o	inkarnaatio	incarnation
temuo	te-mu-o	konversio; muutos	change; modification; changeover; alteration; conversion; amendment
