English150Char	Finnish150Char	VosaTevos150Char
Once the city is built sustainably, there will be no need for moving furniture, household appliances, and factory machinery.	Kun kaupunki on rakennettu kestävästi valmiiksi, ei muuttoliikennettä huonekaluille, kotitalouskoneille ja tehtaiden koneistoille tarvita.	Na taunlo oota toolen ögvoli mu teful, ej erlotuotusta for tolossi, balrostavösi a tolösivösi niidta.
Residents and operators can carry or transport their personal belongings, 	Asukkaat ja toimijat voivat kantaa tai kuljettaa kuljetuslinjojen laitteilla henkilökohtaiset tavaransa 	Eloojosi a oteejosi häsi voo pogaag taj gaag vy gagreituovösi hojoiplova oftosi 
such as food, clothing, textiles, dishes and other small items, using the equipment on the transport lines.	esim. ruoka, vaatteet, tekstiilit, astiat ja muut pienvarusteet.	e.k. em, vatsi, vatmotosi, vessi a tua ipvivosi.
Disabled and frail elderly people have their own means of transportation and the city has been made easy for them too.	Invalideilla ja heikompikuntoisilla vanhuksilla on omat kulkuvälineensä ja kaupunki on tehty helppokäyttöiseksi myös heille.	Ejvoevjosi a oppirvostava unjosi oof ofva tuutvosi a taunlo oota tee-en gnoteoova ali for häsi.
People get more exercise when they get it on their commutes, 	Ihmisille tulee enemmän liikuntaa, kun sitä saadaan työmatkoilla, 	Tu mämsi uutne pir uute, na it aafta na törotuosi, 
while running errands, and while playing sports and working in nearby parks and gardens.	asioidessa ja ympärillä olevassa puistoissa, puutarhoissa urheillessa ja työskennellessä.	sositee a raula oova taunpulsi, tolsieplosi, na rouu a sitöö.
The condition remains better.	Kunto pysyy parempana.	Vosta autpaoo hapir.
When the city is pollution-free, with clean air, clean water, a healthily optimized diet, 	Kun kaupunki on saasteeton, puhdas ilma, puhdas vesi, terveellisesti optimoitu ruokavalio, 	Na taunlo oo ahnilkmoejva, klinva hom, klinva vam, forterli hastvostaaen emvaoto, 
proactive and preventive, individualized healthcare, health remains good for a long time.	ennakoiva ja ennaltaehkäisevä, yksilöllinen terveydenhoito, niin terveys pysyy pitkään hyvänä.	ennaava a ennaedyyvva, isjova terstake, itli tervao autpaoo luna hava.
People have a lot of social interaction and community centers where they can gather according to their ideas, values, and beliefs.	Ihmisillä on paljon sosiaalista kanssakäymistä ja monitoimitaloja, joissa voi kokoontua aatteensa, arvojensa ja uskonsa mukaan.	Mämsi oof piri sosva vioteete a siotetolsi, in kosi voo relotuu vili häsiof ide, ro a us.
You can also retreat to solitude and small groups in the middle of nature, in your home, and at your workplace.	Myös yksinäisyyteen ja pieniin ryhmiin voi vetäytyä luonnon keskelle, asuntoonsa ja työpisteeseensä.	Ali tu isvivao a ipva iksio voo autpoaag tu mid biolo, elo a töculo.
Apartments and office spaces can be built with different looks in different neighborhoods, so there is variety.	Asuntoja ja toimitiloja voidaan rakentaa eri ilmeillä eri kaupunginosissa, niin on vaihtelua.	Elosi a otetilsi voota tool vi er liedka in er taunloiksi, itli oo siermuo.
On the other hand, there are also many good standards according to which goods are made.	Toisaalta on myös paljon hyviä standardeja, joiden mukaan tehdään hyödykkeet.	Tuaelli oo ali piri hava sirepiprisi, vili kosi teeta görotosi.
Goods can be manufactured to individual needs in mini-factories, where production is optimized in terms of energy, raw materials and time.	Hyödykkeitä voidaan valmistaa yksilöllisiin tarpeisin minitehtaissa, jossa tuotanto on optimoitu energian, raaka-aineiden ja ajankäytön suhteen.	Göroto voota too for isjova nidsi in iptolösi, koin toote oota hastvostaaen cu pori, ravmo a nopateo.
An eco-smart city area can be as self-sufficient as possible.	Ekoälykaupunkialue voi olla mahdollisimman omavarainen.	Ekovistaunleilo voo oo vostli autresrova.
We are making great use of artificial intelligence and human intelligence.	Hyödynnetään paljon tekoälyä ja ihmisälyä.	Tegöroota piri tevis a mämvis.
People, the public, and experts together are involved in ideation, planning, development, and even making.	Ihmiset, yleisö ja asiantuntijat yhdessä ovat mukana ideoinnissa, suunnittelussa, kehittämisessä ja tekemisessäkin.	Mämsi, hökasio a sovodajosi revi oo ofvi in ideaate, kasoote, deevte a ali in teete.
A lot of manual labor is also used, which means that there is not as much need for robots, 	Käytetään paljon myös käsityötä, tällöin ei tarvita niin paljon robotteja, 	Teoota piri ali pavetö, täna ej niidta itli piri vöjosi, 
which consume energy and require a lot of raw materials to manufacture.	jotka kuluttavat energiaa ja niiden valmistukseen tarvitaan paljon raaka-aineita.	kojosi teroriip pori a itsiof toote niidta piri ravmosi.
Division of labor between humans and robots, what tasks should be assigned to whom and when.	Työnjako ihmisten ja robottien kesken, mitkä kannattaa teettää milläkin ja kelläkin.	Töiikte vigög mämsi a vöjosi, kosi rogöö tuatee kovy a kojovy.
The eco-smart city and its environment, with all its features for people and nature, 	Ekoälykaupunki ja sen ympäristö kaikkine ominaisuuksineen ihmisille ja luonnolle 	Ekovistaunlo a itof raulo vi ki ofvaosi for mämsi a biolo 
are optimized in terms of environmental friendliness, healthiness, economy, time use, comfort, ethics, etc.	on optimoitu ympäristöystävällisyyden, terveellisyyden, taloudellisuuden, ajan käytön, viihtyvyyden, eettisyyden jne. suhteen.	oo hastvostaaen cu fortervao, rostavao, nopateo, nohamivao, rattarvao aid.
Culture and values must not be force-fed through public displays, for example, music, 	Kulttuuria ja arvoja ei saa pakkosyöttää julkisilla pakoilla esim. musiikilla, 	Lie a rosi ej aaf pitpaeem la dihva losi e.k. vy rohö, 
which not everyone likes and which causes noise pollution.	josta ei kuitenkaan kaikki pidä ja se tuo melusaastetta.	koöb amut ki ej öbraa a it aag ahhönilk.
The city has meeting places where people can gather according to their values, 	Kaupungissa on kokoontumistiloja, joissa voivat kokoontua ihmiset arvojensa mukaan, 	Taunlo oof relotuotilsi, in kosi voo relotuu mämsi vili häsiof rosi, 
without causing any disturbance, noise, violence, littering, drunkenness, etc. to the environment or other people.	joista ei tule häiriötä, melua, väkivaltaa, roskaantumista, juopotteluhäiriötä ym. ympäristölle ja muille ihmisille.	ob kosi ej uut cuyv, ahhö, popitpö, nilkööte, sialkveemte cuyvsi tu raulo a tua mämsi.
People have healthy lifestyles:	Ihmisillä ovat terveelliset elämäntavat:	Mämsi oof forterva eoliosi:
No smoking, no alcoholism, no drug use - they are prevented and helped to get rid of them.	Ei tupakointia, ei alkoholisoitumista, ei huumekäyttöä - ne ennaltaehkäistään ja niistä autetaan eroon.	Ej tobeepte, ej alkongmuo, ej päräjmoteo - itsi ennaedyyvta a ob itsi vyyta erur.
The shared property of a shared household must not be wasted and must be used according to instructions.	Jakamistalouden yhteistä omaisuutta ei saa tärvellä ja sitä tulee käyttää ohjeiden mukaan.	Tusiparosta viofva öfro ej aafta ahsttee a it piit teoo vili lidasi.
The residents have high morale.	Asukkailla on korkea moraali.	Eloojosi oof ylva cuhah.
If an individual repeatedly violates the common rules of the game, 	Jos yksilö rikkoo toistuvasti yhteisiä pelisääntöjä, 	If isjo ahreek autduteeli viofva pöregsi, 
they will be expelled from the eco-smart city and/or placed in special care and upbringing.	hänet karkotetaan ekoälykaupungista ja/tai laitetaan erikoishoitoon ja kasvatukseen.	hä yrpatuuta ut ekovistaunlo a/taj lopaata erlihake a haeöpiirte.
People don't spend anything extra, no one lives too lavishly at the expense of other people and nature.	Ihmiset eivät kuluta mitään ylimääräistä, kukaan ei elä liian leveästi muiden ihmisten ja luonnon kustannuksella.	Mämsi ej tetoriip ejö ylriva , ejkojo ee ylrili leili vy rovpa tuasiof mämsi a biolo.
No one accumulates more capital than they need.	Kukaan ei kerää itselle suurempia pääomia kuin tarvitsee.	Ejkojo kaap pipir päro il niid.
Collecting common capital, communities or the entire city, to maintain and further develop the eco-smart society.	Kerätään yhteistä pääomaa, yhteisöt tai koko kaupunki, jolla ylläpidetään ja kehitetään edelleen ekoäly-yhteiskuntaa.	Kaapta viofva päro, isvisiosi taj kio taunlo, kovy yllapaoota a deevta depirna ekovis-visoslo.
The sustainability of the entire planet must be taken into account; 	On huomioitava koko maapallon kestävyys, 	Piit obtaark kio rauköl ögvovao, 
consumption per individual is what the sustainable development of the planet requires.	yksilöä kohti kulutus on se mitä maapallon kestävä kehitys edellyttää.	obri isjo teroriipte oo it, ko rauköl ögvova dev edniid.
A lot can be saved from unnecessary consumption and production.	Paljon voidaan säästää monesta turhasta kulutuksesta ja tuotannosta.	Piri voota ropaoo ob si nidejva teroriipte a toote.
The sharing economy also reduces the need for and sustainable goods, 	Jakamistalous myös vähentää tarvetta ja kestävät hyödykkeet, 	Tusiparosta ali riip nid a ögvova görotosi, syt ej uut itli piri ekotuvedeka obri hojo.
so that there is not as much of an ecological footprint per person.	ettei tule niin paljon ekojalanjälkeä henkilöä kohti.	syt ej uut itli piri ekotuvedeka obri hojo.
All planning and development utilizes the best possible technology and develops, brainstorms, and researches 	Kaikessa suunnittelussa ja kehittämisessä hyödynnetään parasta mahdollista teknologiaa ja kehitetään, ideoidaan ja tutkitaan 	In ki kasoote a deevte tegöroota hast vova tekdä a deevta, ideaata a dakaata 
even better solutions, utilizing all members of society in brainstorming, group work, studying, and learning, etc.	vielä parempia ratkaisuja kaikkia yhteiskunnan jäseniä hyödyntäen aivoriihessä, ryhmätöissä, opiskelussa ja oppimisessa jne.	pirnen hapir gnosi vy ki visoslo vesi tegörooli in ideahäp, iksiotösi, apdav a daavte aid.
Here are some initial thoughts for all people to advance current and future good things.	Tässä on alkuajatuksia kaikille ihmisille nykyisten ja tulevaisten hyvien asioiden eteenpäinviemiseksi.	Täin oo nösootesi for ki mämsi for nenva a neeva hava sosi eddir gaate.
Keep developing, brainstorming, and evaluating!	Jatkakaa kehittelyä, ideointia ja arviointeja!	Pirtuu jasi sideevte, ideaate a rokaosi!
There are an infinite number of options, they must be coordinated into a functional and realistic whole, 	Vaihtoehtoja on äärettömästi, ne pitää sovittaa yhteen toimivaksi ja realistiseksi kokonaisuudeksi, 	Tajifosi oo ultrili, itsi piit tehasoop tuisvi mu oteeva a rilideva kiovao, 
which, however, sets boundary conditions for the possibilities.	mikä asettaa kuitenkin reunaehtoja mahdollisuuksille.	ko lopaa amut dimifosi tu vovaosi.
The entire urban-rural community, with all its nuances, must be redesigned from the ground up.	Koko kaupunki-maaseutu-yhteisö kaikkinaisuuksineen tulee suunnitella alusta lähtien uudelleen.	Kio taunlo-nuatlo-isvisio vi kivaosi piitne kasoo ut nö novli.
The old structures are still in place for now, but they too can be improved according to new methods and principles.	Entiset rakenteet ovat vielä toistaiseksi, mutta niitäkin voi parannella uusien menetelmien ja periaatteiden mukaan.	Enva litolsi oo pirnen tuaenmu, mut ali itsi voo sihapiir vili novva culitesi a alidesi.
The future eco-smart city and eco-rural areas must be made easily modifiable 	Tulevasta ekoälykaupungista ja ekomaaseutualueista on tehtävä helposti muunneltavia 	Ob neeva ekovistaunlo a ekonuatlo leilosi piit tee gnoli sitemuuvova 
and adaptable to new environmental conditions and human challenges.	ja mukautuvia uusiin ympäristöolosuhteisiin ja ihmiskunnan haasteisiin.	a autlisoopva tu novva raulo-ocustasi a simäm hassi.
There is enough thinking, hobbies, and work here for everyone who is capable.	Tässä sitä ajattelua, harrastusta ja työkenttää riittää kaikille kynnelle kykeneville.	Täin it soote, mite a töleilo hanidrii tu ki forvoteva.
Happy future!	Hyvää tulevaisuutta!	Hava neno!
The legal causes of the war in Ukraine, my assessment.	Ukrainan sodan jurisyyt, arvioni.	Ukrainlo sip jursysi, ajof roka.
1. Throughout history, the Great Russians have conquered, subjugated, and Russified smaller peoples.	1. Isovenäläiset ovat kautta aikojen valloittaneet pienempiä kansoja ja alistaneet niitä ja venäläistäneet.	1. Pirusjosi oo intuni nosi pöloaapen ippir hyjsi a alpölyyen itsi a rusmuuen.
2. Ukrainians have also been in a subordinate position, Russian rulers have moved there and attempts have been made to Russify the Ukrainian language.	2. Myös Ukrainalaiset ovat olleet alistetussa asemassa, sinne on muuttanut venäläisiä vallanpitäjiä ja ukrainan kieltäkin on pyritty venäläistämään.	2. Ali ukrainjosi oo ooen in alpölyyen culo, itle oo erlotuuen rusva pöpaoojosi a Ukrain vos oo tutraaen rusmuu.
3. Ukraine suffered great famine and persecution during Stalin's time.	3. Ukraina on kärsinyt suurta nälänhätää ja vainoa Stalinin aikana.	3. Ukrainlo oo saafen piva emnidahsta a obahte na Stalinof no.
4. Ukrainians have had to fight for Russia throughout history.	4. Ukrainalaiset ovat joutuneet sotimaan Venäjän puolesta historian aikana.	4. Ukrainjosi oo autpiiten siip gö Ruslo na unda.
It is reasonable that Ukraine has received Crimea as a gift.	On kohtuullista, että Ukraina on saanut lahjaksi Krimin.	Oo obnidriva, syt Ukrainlo oo aafen mu tofa Krim.
5. Russia seeks and has sought to influence the internal affairs of other countries, being arrogant, selfish, and power-hungry.	5. Venäjä pyrkii ja on pyrkinyt vaikuttamaan muiden maiden sisäisiin asioihin, ollen ylimielinen, itsekäs ja vallanhimoinen.	5. Ruslo tutraa a oo tutraaen yys tu tuasiof hylsiof inova sosi, ooli ylmiva, autcuva a pöahofrava.
6. Russia also influenced the Ukrainian elections and administration, bringing pro-Russian leaders to power.	6. Myös Ukrainan vaaleihin ja hallintoon Venäjä vaikutti, että valtaan tuli venäjänmielisiä johtajia.	6. Ali tu Ukrainlo pöurkasi a pöte Ruslo yysen, syt tu pö uuten Ruslomiva diirjosi.
Russia would like to see Ukraine as at least Finnish, which is neither full independence nor self-determination for the nation.	Venäjä haluaisi pitää Ukrainaa vähintäänkin suomettuneena, joka ei ole täyttä itsenäisyyttä eikä itsemääräämis- kansakunnalle.	Ruslo ofraaif paoo Ukrainlo ripstrili tefinlooen, ko ej oo fulva autnavao a ej autpösarataf oikeutta for hyjsio
7. Thus, Western countries had to influence and help Ukraine as a counterbalance to Russia's subjugation and vested interests	7. Näin länsimaittenkin piti vastapainona vaikuttaa ja auttaa Ukrainaa Venäjän alistamista ja etupiiriajattelua vastaan.	7. Täli ali vethylsi piiten li öghev yys a vyy Ukrainlo ög Ruslo alpölyyte a edrorauri soote.
In this way, the Ukrainians also wanted to oust the pro-Russian regime, 	Näin myös ukrainalaiset halusivat syrjäyttää venäjämielisen hallinnon, 	Täli ali ukrainjosi ofraaen sidlopaa Ruslomiva pöte, 
which Putin's Russia considers a coup, when Russia itself was seizing power from the Ukrainians.	jota Putinin Venäjä pitää vallankaappauksena, kun itse Venäjä oli kaappaamassa vallan ukrainalaisilta.	ko Putinof Ruslo cuu pöahap, na aut Ruslo ooen pöahaapnen pö ut ukrainjosi.
Russia blames others for what it itself is guilty of.	Venäjä syyttää muita siitä mihin se itse syyllistyy.	Ruslo sysaa tuasi öb it kointu it aut autsyoob.
8. Ukrainians' experiences with Russian oppression and subjugation contribute to the fact	8. Kokemukset ukrainalaisilla vastaan Venäjän sortoa ja alistamista vaikuttaa siihen, 	8. Davofisi of ukrainjosi ög Ruslo ahpircuo a alpölyyte yys tuit, 
that pro-Russian and Russian-speaking people are not fully sympathetic.	että venäjänmielisiä ja venäjänkielisiä ei koeta täyttä myötämielisyyttä.	syt obcu towards Ruslomiva a rusvosva kohtaan ej davofiita fulva gömivao.
9. Putin's Russia wants to return Ukraine to Russia and subjugate it and wants to be a great power.	9. Putinin Venäjä haluaa palauttaa Ukrainan Venäjän yhteyteen ja alistetuksi ja haluaa olla suurvalta.	9. Putinof Ruslo ofraa retupaa Ukrainlo tu Ruslo vio a alpölyyen a ofraa oo pihyl.
The Black Sea, the black soil region, etc., Russia covets them.	Musta meri, mustan mullan alue ym., Venäjä himoitsee niitä.	Tivva fovamlo, tivva molmo leilo atua, Ruslo ahofraa itsi.
Putin does not want the democracy that has developed in Ukraine, but an authoritarian system.	Putin ei halua demokratiaa, joka Ukrainassa on kehittynyt, vaan haluaa autoritääristä järjestelmää.	Putin ej ofraa talpö, ko in Ukrainlo oo autdeeven, mut ofraa autgöpöva lijär.
Putin did not want to follow the Russian constitution, which states that the president can only serve two terms and prohibits aggressive war.	Putin ei halunnut noudattaa Venäjän perustuslakia, jossa on että presidentillä on vain kaksi kautta ja jossa kielletään hyökkäyssota.	Putin ej ofraaen lisatee Ruslo beslopöso, koin oo syt ylstpöjo oof erisli du limnosi a koin eejenta postuosip.
Putin rules through fear, he even has a team of assassins.	Putin hallitsee pelolla, hänellä on tappajaryhmäkin.	Putin pötee vy rak hä oof ali paeöönjo iksio.
Putin may have already contaminated himself while working in the KGB and hardened his conscience in dirty work.	Putin on ehkä jo toimiessaan KGB:ssä saastuttanut itsensä ja paaduttanut tuntonsa likaisissa hommissa.	Putin oo mejli ripnen na otee in KGB ahnilkmooen hä aut a hahfikaamen häof hahfi in nilkva foraftesi.
He has developed a strong anti-Western sentiment.	Hänelle on kehittynyt voimakas länsivastaisuus.	Tu hä oo autdeeven pova vetögvao.
10. The Chechen people have also been oppressed by the Russian regime, as have the Syrian people and citizens of Russia itself.	10. Tsetsenian kansaa on myös Venäjän hallinto sortanut ja Syyrian kansaa ja Venäjän itsensä kansalaisia.	10. Tsetsenlo hyj oo ali Ruslo pöte ahpircuuen a Syrlo hyj a Ruslo autof hyjjosi.
The opposition is not allowed to act.	Oppositio ei saa toimia.	Ögsio ej aaf otee.
When the opinion of all citizens is not allowed to influence the government, tensions arise both internally and externally, 	Kun kaikkien kansalaisten mielipide ei saa vaikuttaa hallinnossa, tulee jännitteitä niin sisällä kuin ulkona, 	Na ki hyjjosi micu ej aaf yys in pöte, nee voltsi itli in li ni, 
because this is something that ordinary citizens cannot accept anywhere in the world.	koska tällaista eivät voi tavalliset kansalaiset missään maailmassa hyväksyä.	syfor täva ej voo resiva hyjjosi ejkoin in köl hafaa.
The dark administration makes stupid decisions when citizen intelligence is not allowed to produce good ideas, 	Pimeä hallinto tekee tyhmiä päätöksiä, kun kansalais- joukkoäly ei saa tuottaa hyviä ideoita, 	Takva pöte tee sivva pätsi, na hyjjovisoslo yhteiskunnan siovis ej aaf too hava ideasi, 
leading to wars, environmental problems, and discord between people.	tulee sotia, ympäristöongelmia ja eripuraa ihmisten välille.	nee sipsi, raulo-ongsi a ersop vältu mämsi.
11. The bureaucratic apparatus and privileged people left over from the Soviet era have robbed the Russian people of their property, 	11. Neuvostoliiton ajoilta jäänyt virkakoneisto ja etuoikeutetut ovat ryöstäneet Venäjän kansalta omaisuuksia, 	11. Ut Lisasiovipölo nosi jääen törosivö a edrorataafen oo ahroaapen ut Ruslo hyj öfrosi, 
there are oligarchs and corruption, many kinds of lies and injustice.	on oligarkkeja ja lahjontaa, monenlaista valheellisuutta, vääryyttä.	oo oligarkjosi a ahtofao, siliva lirvao, tarvao.
Since righteousness has been lacking, it has not brought temporal blessings to Russians throughout history.	Oikeamielisyys kun on puuttunut, se ei ole tuonut ajallista siunausta venäläisille kautta aikojen.	Ratmivao, na oo ejofriien, it ej oo aagen ofnova haussak for rusjosi intuni nosi.
The group of pajares still holds power and receives privileges at the expense of ordinary citizens and indigenous peoples.	Edelleenkin pajarien ryhmä pitää valtaa ja saa etuoikeuksia tavallisen kansalaisten ja alkuperäiskansojen	"Depirna a ""pajarjosi iksio"" paoo pö a aaf edroratafsi vy rovpa of at the expense of resiva hyjjosi a nöbeshyjsi."
12. Poor citizens are focused on getting even the bare necessities of life, 	12. Köyhillä kansalaisilla menee huomio siihen, että saa edes välttämättömät elämisen tarpeet, 	12. La stirva hyjjosi tuu obtark tuit, syt aaf ipripstli nidva eete nidsi, 
they do not have the conditions to actively participate in politics, even when it is prevented.	politiikkaan ei ole edellytyksiä osallistua aktiivisesti, kun sitä estetäänkin.	tu pögöte ej oo ednidsi ikaap siteli, na it yyvta a.
Solutions	Ratkaisuja	Gnosi
1. Russia should grant all indigenous peoples full self-determination 	1. Venäjän pitäisi antaa kaikille alkuperäiskansoille täysi itsemääräämisoikeus 	1. Ruslo piitif faa tu ki nöbeshyjsi fulva autpösarataf 
and independence, stop Russification, and allow the revival of indigenous languages.	ja itsenäisyys ja lopettaa venäläistäminen ja sallia elvyttää alkuperäsikansojen kielet.	a autnavao a teöön terusmuuen a pöfaa epaa nöbeshyjsi vossi.
2. Russia should stop interfering in the internal affairs of other countries, 	2. Venäjän pitäisi lopettaa vaikuttaminen muiden maiden sisäisiin asioihin, 	2. Ruslo piitif teöön yyste tu tuasiof hylsiof inova sosi, 
stop propaganda, and focus on creating the well-being of its own citizens.	lopettaa propaganda ja keskittyä omien kansalaisten hyvinvoinnin luomiseen.	teöön ahdayste a autmiid tu öfva hyjjosi halivoote novteete
3. Russia should stop using power politics and ruling through fear and coercion.	3. Venäjän olisi lopetettava voimapolitikka ja pelolla ja pakolla hallitseminen.	3. Ruslo ooif teöön popögöte a vy rak a pit pöteete.
Give the opposition equal opportunities to act.	Annettava oppositiolle tasaveroiset mahdollisuudet toimia.	Piit faa tu ögsio tallireva vovaosi otee.
4. Russia should withdraw its troops from Ukraine, clear the mines, 	4. Venäjän olisi vedettävä sotajoukot pois Ukrainasta ja raivattava miinat 	4. Ruslo piitif poaag sipjosiosi yr Ukrainlo a klirlotee losipvosi 
and at least fully compensate for all the damage it has caused to Ukraine.	ja korvattava vähintään täysimääräisesti kaikki vahingot mitä se on tehnyt Ukrainalle.	a sijfaa ripstrili fulrili ki tekassi ko it oo tee-en tu Ukrainlo.
Crimea and eastern Ukraine belong to Ukraine.	Krim ja itäinen Ukraina kuuluvat Ukrainalle.	Krim a tevva Ukrainlo tuoof Ukrainlo
5. Russians and soldiers taken from indigenous peoples who suffered in the war should also be compensated and their families.	5. Myös sodassa kärsineille venäläisille ja alkuperäiskansoista otetuille sotilaille olisi korvattava ja heidän perheilleen.	5. Ali for in sip saafen rusjosi a ut nöbeshyjsi aafen sipjosi ooif sijfaa a tu häsiof bajsi.
6. All wrongdoings in Putin's administration should be investigated and punished.	6. Kaikki vääryydet olisi tutkittava Putinin hallinnossa ja annettava niistä rangaistus.	6. Ki tarvaosi piitif dakaa in Putinof pöte a faa ob itsi forahfa.
7. Russians must be taught how to function in a democracy and civic society so that authoritarian systems do not gain power.	7. Venäläisille on opetettava toimiminen demokratiassa ja kansalais- niin ettei autoritääriset järjestelmät saa valtaa.	7. For rusjosi piit padaa oteete in talpö a hyjjovisoslo, yhteiskunnassa, itli syt ej autgöpöva lijärsi aaf pö.
YOU CAN ADD YOUR VIEWS AND COMMENT!	VOITTE TÄYDENTÄÄ NÄKEMYKSILLÄNNE JA KOMMENTOIDA!	JASI VOO FULPIIR VI JASIOF KAMICUSI A ÖBMISAA!
Gospel of John	Johanneksen evankeliumi	Johanof rossa
From the 1776 Bible translation, some of the passages of which have been translated into modern Finnish.	Vuoden 1776 raamatun käännöksestä, josta osa kohdista on muutettu nykysuomeksi.	Ob jän 1776 uskirto vosmuo, ob ko ik iplosi oo temuuen mu nenfin.
John 1	Johannes 1	Johan 1
1 In the beginning was the word, the Word was with God, and the Word was God.	1 Alussa oli sana, se Sana oli Jumalan tykönä ja Jumala oli se Sana.	1 Na nö ooen sa, it Sa ooen tut Hajo a Hajo ooen it Sa.
2 This was in the beginning with God.	2 Tämä oli alussa Jumalan tykönä.	2 Tä ooen nöna tut Hajo.
3 All things were made through him, and without him was not anything made that was made.	3 Kaikki ovat sen kautta tehdyt ja ilman sitä ei ole mitään tehty, joka tehty on.	3 Ki oo intuni it tee-en a ejli it oo ejö tee-en, ko tee-en oo.
In him was life, and the life was the light of men.	4 Hänessä oli elämä ja elämä oli ihmisten valkeus.	4 In hä ooen eo a eo ooen mämsiof vitvao.
5 And the light shines in the darkness, and the darkness comprehended it not.	5 Ja valkeus paistaa pimeydessä, jota ei pimeys käsittänyt.	5 A vitvao katkliir in takvao, ko ej takvao vosooen.
6 There was a man sent from God, whose name was John.	6 Yksi mies oli lähetetty Jumalalta, jonka nimi oli Johannes.	6 Is mä ooen pagaaen ut Hajo, kojo-of ersa ooen Johan.
7 He came from the light to testify, so that all might believe through him.	7 Hän tuli valkeudesta todistamaan, että kaikki uskoisivat hänen kauttansa.	7 Hä uuten öb vitvao dariil, syt ki uusif intuni hä.
8 He was not the light, but was sent to bear witness about the light.	8 Ei hän ollut valkeus, mutta hän oli lähetetty valkeudesta todistamaan.	8 Ej hä ooen vitvao, mut hä ooen pagaaen öb vitvao dariil.
9 That was the true light, which enlightens every man that cometh into the world.	9 Se oli totinen valkeus, joka valistaa kaikki ihmiset, jotka maailmaan tulevat.	9 It ooen darilva vitvao, ko katdafaa ki mämsi, kojosi intu köl uuten.
10 He was in the world, and the world was made through him, and the world knew him not.	10 Se oli maailmassa ja maailma oli hänen kauttansa tehty ja ei maailma häntä tuntenut.	10 It ooen in köl a köl ooen intuni hä tee-en a ej köl kavodaaen hä.
11 He came to his own, and his own did not receive him.	11 Hän tuli omillensa ja ei hänen omansa häntä ottaneet vastaan.	11 Hä uuten for häof öfjosi a ej häof öfjosi ögaapen hä.
12 But to all who received him, to those who believe in his name, he gave the right to become children of God,	12 Mutta niille, jotka hänen ottivat vastaan, antoi hän voiman Jumalan lapsiksi tulla, jotka uskovat hänen nimensä päälle,	12 Mut le häsi, kojosi ögaapen hä, faaen hä po mu Hajo-of ipmämsi muu, kojosi uus le häof ersa,
13 who were born, not of blood, nor of the will of the flesh, nor of the will of man, but of God.	13 jotka ei verestä eikä lihan tahdosta, ei myös miehen tahdosta, mutta Jumalasta syntyneet ovat.	13 kojosi ej ob hemo, ej ali obra of mä, mut ob Hajo nöee-en oo
14 And the Word became flesh and dwelt among us, and we saw his glory, glory as of the only Son from the Father, full of grace and truth.	14 Ja Sana tuli lihaksi ja asui meidän seassamme, ja me näimme hänen kunniansa niin kuin ainoan Pojan kunnian Isästä täynnä armoa ja totuutta.	14 A Sa muuen mit a elooen insio ajsi, a ajsi vokaaen häof hon itli li eris Sonof hon ut Ma, ful hacuah a darilvao.
15 John bore witness about him and cried out, saying, This was he of whom I said, 	15 Johannes todisti hänestä ja huusi sanoen: Tämä oli se, josta minä sanoin: 	15 Johan dariilen öb hä a sääen saali: Tä ooen it, öb ko aj saaen: 
After me comes a man who is preferred before me, for he existed before me.	Minun jälkeeni on tuleva, joka minun edelläni on ollut; sillä hän oli ennen kuin minä.	Ne aj uutne, kojo edla aj oo ooen; syfor hä ooen en na aj.
16 And of his fullness have we all received, and grace for grace.	16 Ja me olemme kaikki hänen täydellisyydestänsä saaneet ja armon armosta.	16 A ajsi oo ki ob häof fulvovao aafen a hacuah ob hacuah.
17 For the law was given through Moses, grace and truth came through Jesus Christ.	17 Sillä laki on Mooseksen kautta annettu, armo ja totuus on Jeesuksen Kristuksen kautta tullut.	17 Syfor pöso oo intuni Moses faaen, hacuah a darilvao oo intuni Jesus Krist uuten.
18 No one has seen God at any time; the only Son, who is in the bosom of the Father, he has declared him.	18 Ei ole kenkään koskaan Jumalaa nähnyt, ainokainen Poika, joka on Isän helmassa, hän ilmoitti meille.	18 Ejkojo oo ejna vokaaen Hajo, erisö Son, kojo oo in Maof vatlydim, hä dafaaen tu ajsi.
19 And this is the testimony of John, when the Jews sent priests and Levites from Jerusalem to ask him, Who art thou?	19 Ja tämä on Johanneksen todistus, kun juutalaiset lähettivät Jerusalemista papit ja Leviläiset kysymään häneltä: Kuka olet?	19 A tä oo Johanof darilob, na jutjosi pagaaen ut Jerusalem ussajosi a levtjosi koo ut hä: Kojo ja oo?
20 And he confessed, and denied not; and he confessed, saying, I am not the Christ.	20 Ja hän todisti ja ei kieltänyt ja hän todisti, sanoen: En minä ole Kristus.	20 A hä dariilen a ej eejen a hä dariilen: Aj ej oo Krist.
21 And they asked him, Who then?	21 Ja he kysyivät häneltä: Kuka siis?	21 A häsi kooen ut hä: Kojo syklirli?
Are you Elias?	Oletko Elias?	Ooko ja Elias?
He said: No.	Hän sanoi: En.	Hä saaen: Ej, aj ej oo.
Are you a prophet?	Oletko profeetta?	Ooko ja usennesaajo?
He replied: No.	Hän vastasi: En.	Hä ooken: Ej, aj ej oo.
