VosaTevos	Finnnish	English
varmli a	varmastikin	for sure
varmpaapr	sinetöidä	seal
varmpaapren	sinetöity	sealed
varmpapr	sinetti	cachet; seal; signet
varmrelito	varmuuskopio	backup; backup copy
varmrelitoo	varmuuskopioida	back up
varmro	hypoteekki; pantti	deposit; security; mortgage; pledge
varmroirfjo	panttivanki	hostage
varmroo	pantata	pawn; pledge
varmrorataf	panttioikeus	lien
varmtusaa	vakuuttaa	reassure; persuade; assure; assert; convince
varmtusaali	vakuuttavasti	convincingly
varmtusaate	vakuutus	assurance; reassurance
varmtusaava	vakuuttava	persuasive; assuring; cogent; convincing
varmtusaavao	vakuuttavuus	cogency; plausibility
varmtusaoupysva	altis vakuutteluille	persuasible
varmva	varma	assured; certain; confident; safe; sure
varmvaksmo	sinettivaha	sealing wax
varmvao	varmuus	sureness; confidence; certainty; assuredness
varmvaoli	varmuudella	with certainty
varmvarmli	vuorenvarmasti	for sure
varmvarmva	vuorenvarma	cocksure
varpsif	varpunen	sparrow
varva	kypsä	ripe; mature
varvao	kypsyys	maturity; ripeness
vasa	adjektiivi; laatusana	adjective
vaspeg	ampiainen	wasp
vat	vaate	article of clothing; cloth; garment; piece of clothing
vat oo inlirekli	vaate on puhki	garment is broken
vatalleiyl	vuori	lining
vatalleiylvatmo	vuorikangas	lining
vatalleiyyl	vuorata	line
vatalleiyylte	vuoraus	lining
vatauthiee	nuhjaantua; nuhraantua	get shabby
vatauthieva	nuhjuinen; nuhruinen	shabby; untidy; grubby; dowdy
vatejide	nudismi	nudism
vatejidejo	nudisti	nudist
vatejli	alasti	naked
vatejva	alaston	bare; naked; nude; stripped
vatejvao	alastomuus	nakedness; nudity
vatfou	laskos	pleat
vatfouu	laskostaa	drape
vatgabos	vaatekaappi; vaatekomero	closet; clothes cupboard; wardrobe
vathupeg	koi; koiperhonen	moth
vathupeg-eemen	koinsyömä	moth-eaten
vatik	vaatekappale	article of clothing; piece of clothing
vatinbäg	tasku	pocket; pouch
vatinbägkirto	taskukirja	pocketbook
vatinbägpipriva	taskukokoinen	pocket-sized
vatinbägrov	taskuraha	pocket money
vatkau	kuosi	design; pattern
vatkaumo	kerni	kernel; plastic wrap
vatkauva	kuosikas	tasteful
vatknot	solmio	necktie; tie
vatkutik	tilkku	scrap; patch
vatkutikkayv	tilkkutäkki	patchwork quilt
vatlaoriipen	nukkavieru	threadbare; mangy
vatlikatojo	mannekiini	mannequin
vatlydim	helma; lieve; hameenhelma	lapel; valance; skirt; selvage; hemline; hem of a skirt; hem; bosom; lap
vatlydimaho	helmasynti	besetting sin
vatmo	kangas	material; textile; fabric; cloth; canvas
vatmolapäk	kangaspakka	cloth pack
vatmopuviivvo	kangaspuut	loom
vatmoto	tekstiili	textile
vatmotolö	tekstiilitehdas	textile factory; textile mill
vatmotosi	kangastavarat	drapery; fabric goods
vatmova	kankainen	fabric
vatob	vaateparsi	clothing
vatpalo	vaatesäiliö	cloakroom
vatpeghep	mali; koiruoho	absinthe; wormwood
vatpäk	nyytti	bundle
vatrekto	riekale	shred
vatruto	nappi	button
vatrutoinliob	napinläpi	buttonhole
vatsi	hynttyyt; vaatteet	garments; raiment; clothing; clothes; togs
vatsi paloolo	vaatteiden säilytys	cloakroom; clothing storage
vatsiil	silittää	flat iron
vatsiilte	silitys	ironing
vatsiilvö	silitysrauta	flat iron; smoothing iron
vatsiitte	vaatteen istuvuus	fit of the garment
vatsiviap	vaatekokoelma	clothing collection
vatsivooshjo	pyykkäri	laundress
vatsivooshte	pyykinpesu	laundering
vatsivooshvö	pyykinpesukone	washing machine
vatsivosh	pyykki	laundry; washing
vatsivoshiproup	pyykkinaru	clothesline
vatsivoshleios	pyykkilauta	washboard
vatslo	vaatevarasto	clothing warehouse
vatsupos	naulakko	coat-rack; rack; stand
vattol	teltta	tent
vattolik	vaatehuone	clothes room; wardrobe
vattoo	räätälöidä	tailor
vattooen	räätälöity	tailored
vattoojo	räätäli; vaatturi	tailor
vattoolte	telttailu	camping
vattoote	räätälöinti	tailoring
vattoovsupos	kuivausteline	clothes horse
vattuvetosi	tennarit	plimsolls; sneakers
vatustol	ilmestysmaja	tabernacle
vatvaap	luututa	swab
vatvap	luutu	cleaning rag
vau	vau	wow
ve	jäsen	affiliate; limb; member
veem	juoda; ryypätä	booze; drink; imbibe
veemen	joi	drank
veemte	drinkki; juominen	potation; boozing; drink; drinking
veemvova	juotava	drinkable
vehedtuka	revyy	revue
vehhääk	näpäyttää; napauttaa	bunt; tap
vehhääkte	napautus	tap
vehli	kepeästi; kevyesti	airily; lightly
vehmili	kevytmielisesti	frivolously
vehmiva	kevytmielinen	degraded; frivolous; libertine
vehnuuk	koisata; uinua	kip; slumber
vehnuukva	uinuva	dormant; sleeping
vehpiir	keventää	lighten; relieve
vehpiirte	keventäminen; kevennys	lightening; relief
vehtuu	sipsuttaa	trip
vehuklekmäm	marionetti	marionette
vehva	kepeä; keveä; kevyt	light; lightsome; lightweight
vehvao	keveys	levity; lightness
vehvuvo	kevyt vene	dinghy
vehöbsa	pakina	causerie
vehöbsaa	pakinoida	write causeries
vehöbsaajo	kolumnisti	columnist
veiivhöö	liplattaa	ripple
veiivte	aaltoilu	heave; surge
veintuu	astua sisään	step inside; enter
veiv	aalto; laine	wave; surge; moving ridge; billow
veivalo	aallonpohja	trough of a wave
veivermuo	modulaatio; modulointi	modulation
veivermuu	moduloida	modulate
veivermuute	moduloiminen	modulating
veivermuuvö	modulaattori	modulator
veivheör	kihara	curl
veivheörva	kihara; kiharainen	curly; frizzy
veivheörvo	papiljotti	curler
veivheörvö	kiharrin	curler
veivkau	aaltomuoto	waveform
veivleilo	aaltoalue	wave range; waveband
veivlin	aaltoviiva	wavy line
veivluri	aallonpituus; aaltopituus	wavelength
veivlurileilo	aallonpituusalue	wavelength range
veivmetleito	aaltopelti	corrugated iron
veivno	jakso; periodi	period
veivnova	jaksollinen	periodic
veivnovao	jaksollisuus	periodicity
veivpaf	aaltopahvi	corrugated board
veivpori	aaltoenergia	wave energy
veivreekvo	aallonmurtaja	bulwark; seawall; jetty; breakwater; mole
veivtorv	aaltoputki	waveguide
veivva	laineikas	wavy
vejäär	jäsentää	parse
vejäärjö	jäsennin; jäsentäjä; parseri	parser
vejäärte	jäsennys	parsing
vekirto	jäsenkirja	membership book
vekuool	kuopia	paw
vekuut	amputoida	amputate
vekuutte	amputointi; amputaatio	amputating; amputation
vel	oikea	right
velgöjo	porvari	burgher; bourgeois; burgess
velgöjosio	porvaristo	bourgeoisie
velgöjova	porvarillinen	bourgeois
velgösio	oikeisto	right wing
velgösiojo	oikeistolainen	rightist
velgösiova	oikeistolainen	right-winger
velsidva	oikeanpuoleinen	right; right side; right sided
velvvatmo	sametti	velvet
velvvatmova	samettinen	velvety; velvet
vem	juoma	potion; beverage; boozer; drink; drinkable; potable; potage
vemfaate	juomatarjoilu	serving drinks
vemglaves	juomalasi	tumbler; drinking glass
vemnid	jano	thirst
vemnidva	janoinen	thirsting; thirsty
vemniid	janottaa; olla janoinen	be thirsty; thirsty
vempauk	paukku	drink
vemusoffa	juomauhri	libation
vemvam	juomavesi	drinking water; drinking-water
vemves	muki	cup; mug
vemvova	juomakelpoinen	potable
vendfis	muikku	vendace
Venetslo	Venetsia	Venice
Venuslo	Venus	Venus
veps	vepsän kieli	Veps
vepsjo	vepsälainen	Veps
vepsva	vepsäläinen	vepsian
vereek	ruhjoa	bruise; mangle; mutilate
verek	ruhje	bruise; contusion
verovfa	jäsenmaksu	dues; subscription; membership fee
ves	astia	vessel; basin; bin; container; dish; receptacle; vase
vesgabos	astiakaappi	cupboard
veshät	kansi	deck; lid; cover
vesiejva	torso	torso
vessi	astiat	receptacles; utensils
vesvoosh	tiskata	do the dishes
vesvooshte	astianpesu	dishwashing
vesvooshvö	astianpesukone	dishwasher
vesvosh	tiski	dishes
vesvoshdipos	tiskiallas	sink
vesvoshvam	tiskivesi	dishwater
vet	länsi; länsi-	west; westerly
vetdirli	länteenpäin	westward
veteokato	lännenfilmi	western
Vet-Eurlo	Länsi-Eurooppa	Western Europe
vethylva	länsimaalainen; länsimainen	westerner; western
vetik	länsiosa	western part
veto-rataf	veto-oikeus	right of veto; veto
vetrov	länsivaluutta	western currency
vetuo	kävely	walk; walking; gait; stroll
vetuoo	käydä kävelyllä	go for a walk
vetuostik	kävelykeppi	walking stick
vetuosup	kävelytuki	walking support
vetuotauntul	kävelykatu	pedestrian zone; promenade; walkabout
vetuotul	kinttupolku; kävelytie	footpath; walkway
vetuoturou	kävelylenkki	walk
vetuoyllitulos	kävelysilta	skybridge
vetuu	astua; kävellä	walk; pace; promenade; step; stride; stroll; tread
vetuu eddir	astua eteenpäin	tread on
vetuujo	kävelijä	pedestrian; walker
vetuuten	kävelivät; käveli	walked
vetva	läntinen	occidental; western
vevao	jäsenyys	membership
vevda	anatomia	anatomy
vevdali	anatomisesti	anatomically
vevdava	anatominen	anatomical; anatomic
veyltuep	köynnös	climbing plant; creeper; festoon
veyltuu	kavuta; kivuta	sputter; shinny; climb; clamber; shin
veyyl	kiivetä	clamber; climb; climb up
veyyljo	kiipeilijä; kiipijä	climber
veyylpusi	tikapuut	ladder
veyylvo	tikkaat	stepladder; ladder
VH	YK	UN
vhiip	piiskata; ruoskia; suomia	flog; lash; whip; flagellate
vhiipjo	piiskuri	taskmaster
vhipvo	ruoska; vitsa; piiska	whip; lash; switch; twig
vhipvohäk	piiskanisku	whiplash
vhipvooen	piiskattu	whipped
vhipvoote	ruoskiminen; selkäsauna	whipping; beating; caning; licking; spanking; thrashing; walloping
vi	kanssa; kera; lomassa; muassa; ohessa	withal; along with; with
vi aj	kanssani	with me
vi eehkaevsi	itkusilmin	amid tears
vi hast farmojsasi	parhain terveisin	best regards
vi iprino	kiireellä	in a hurry; with haste
vi ja	kanssasi	with you
vi no	ajan kanssa	by time
vi oof	meillä on	at our house is
vi piva kirkasi	isoilla kirjaimilla	capitalized
vi ruhami	mielenkiinnolla	with interest
vi teete	tekemisissä	dealing with
vi ysri	tehokkuudella	with efficiency
vi önnuuken hahfi	heränneellä tunnolla	with an awakened conscience
viaag	tuoda mukana; mukanaan tuoda	entail; bring along
viaap	koota	summon; put together; compile; combine; amass; assemble
viaapen	koottu	compiled; assembled; collated
viaapjo	kokoaja; kokooja	collector; assembler
viaapte	kokoaminen; koonti	aggregation; assembly; collection; compiling
viapgösio	kokoomus	coalition
viapsio	aggregaatti	aggregate
viapsiovö	aggregaattori	aggregator
viapte	yhteenveto	synopsis; summary; summarizing; summarization; overview; recapitulation
viapteli	yhteenvetona	to sum up
viaptöto	kokoomateos	compiled work
viarriip	lepytellä	conciliate
viautviiv	kietoutua yhteen	intertwine
vicuhava	solidaarinen	solidary
vicuhavao	solidaarisuus	solidarity
viculi	suhteessa	in proportion; in relation to
vicurek	välirikko	rupture; severance; rift; breaking off of relations; break
vicusi	suhteet; välit	relations; terms; ratios
vicusi knootte	suhteiden solmiminen	forming relationships
vicusisoklirap	välienselvittely	showdown
vicutee	sekaantua	interfere; intervene
vidaa	kommunikoida	communicate
vidao	kommunikaatio	communication; communicating
vidil	yhdyskunta	community
vidu	duetto; pari	couple; duet; pair; twosome
viducu	parisuhde	relationship
viduejva	pariton	odd; unpaired
viduiksip	kaksintaistelu	dueling; duel
viduli	pareittain	by couple; by pairs; in pairs; pairwise; two by two
vidunukos	parisänky	double bed
vidupope	parivaljakko	carriage and pair
viduva	parillinen	even; paired
viem	särvin	drink or food with other food
viermupaa	vaihtaa keskenään	interchange
vieönteo	kuolinkamppailu	agony
vifarcuu	vierastaa	be shy; consider odd
vifarjo	vieras	alien; guest; visitor
vifarjokirto	vieraskirja	guestbook; visitors' book
vifarjoresli	vieraanvaraisesti	hospitably
vifarjoresva	vieraanvarainen	hospitable
vifarjoresvao	vieraanvaraisuus	hospitality
vifarjosi	vieraat	guests
vifaroo	vierailla	pay a visit; visit
vifarooen	vieraili	visited
vifaroojo	vierailija	quest; visitor
vifaroonen	vierailemassa	visiting
vifaroote	vierailu	stay; visitation
vifarva	vieras	strange; unknown; unidentified; unbeaten; foreign; exotic; unfamiliar
vifarvinli	vieraanvoittoisesti	with foreign accent
vifäfjo	kauppakumppani	bargainer
viga	saatto	procession; convoying
vigaa	saattaa	see off; escort; convoy; accompany
vigaa tu ö sta	saattaa johonkin tilaan	put into a state
vigaa tu ö vista	saattaa johonkin tilanteeseen	lead to a situation
vigaaen	saatettu	escorted
vigaajo	saattaja	escort
vigaate	saattaminen	escorting
vigajosio	saattojoukko; saattoväki	cortege; escort; mourners
vigakirgao	saatekirje	cover letter
vigapapr	saate	dispatch note
vigasasi	saatesanat	preface
vigasio	saattue	convoy
vigaöön	saattaa loppuun	complete
vigög	kesken; keskenään	among; between; among themselves
vigögpoagpo	koheesio	cohesion
vigögva	keskinäinen	mutual
viharouplo	anastomoosi	anastomosis
vii	yhtyä	join; unite; fuse; concur with; combine
viien	yhtyneet; yhtynyt	united
viil	viljellä	cultivate; grow
viilen	viljelty	cultivated; cultured; farmed
viiljo	farmari; viljelijä	grower; farmer
viiljotuvö	farmariauto	estate car; station wagon
viilleilo	viljelyala	area under cultivation
viilte	viljeleminen; viljely	cultivation; farming; growing; tillage
viilvova	viljelykelpoinen	cultivable; arable
viin	voittaa	win; vanquish; trounce; prevail; overcome; defeat; outweigh
viinejva	voittamaton	unconquerable; undefeatable; invincible; unbeatable
viinen	voitettu; voittanut; voitti; voittivat	prevailed; won; triumphed; overwhelmed; overcome; overcame; defeated; conquered; vanquished
viinjo	voittaja	victor; winner
viinte	voittaminen	winning; defeating; triumph
viinva	voittava	winning
viiriäsif	viiriäinen	quail
viisio	konsortio	conglomerate; consortium
viisl	viheltää	hoot; whistle
viislte	vihellys	hoot; whistle; catcall
viite	yhtyminen	coalescence; unification; union; affiliation
viiteiplo	yhtymäkohta	confluence; point of contact
viiv	kutoa; punoa	twine; interweave; intertwine; braid; weave
viiven	kudottu; punottu	braided; woven
viivjo	kutoja	weaver
viivte	kutominen; kudonta	weaving
viivvö	kutomakone	loom
vijo	kaveri; kumppani; partneri; seuralainen; toveri	fellow; partner; pal; mate; homie; friend; escort; companion; chum; chap; buddy; bloke; associate; comrade; guy
vijoejva	ynseä	unfriendly
vijoliva	seurallinen	communicative; sociable; companionable; gregarious
vijoo	seurustella	associate; socialize
vijosi	kaverukset	pals
vijosio	seura; seurue; sviitti	suite; retinue; troupe; society; cortege; club; company; entourage
vijosioo	pitää seuraa	keep company
vijova	kaverillinen	pally
vijovao	kumppanuus; toveruus	comradeship; fellowship; companionship; partnership
vik	vika	defect; failure; fault; flaw
vikaapvo	kollektori	collector
vikadaa	tutustua	familiarize oneself; get to know; familiarize; acquaint
vikadaarovri	tutustumishinta	introductory price
vikadaate	tutustuminen	acquainting
vikadajo	tuttu; tuttava	acquaintance
vikadajova	tuttavallinen	familiar; intimate
vikadajovao	tuttavallisuus	familiarity
vikadali	tutusti	familiarly
vikadava	tuttu	acquainted; familiar; known
vikadavao	tuttavuus; tuttuus	acquaintance; familiarity
vikejli	viattomasti	innocently
vikejva	viaton	flawless; immaculate; impeccable; innocent
vikejvao	viattomuus	innocence
vikingjo	viikinki	viking
vikipa	integroiminen; integrointi; integraatio	integrating; integration
vikipaa	integroida	integrate
vikipaaen	integroitu	integrated
vikipaikote	integraali	integral
vikiparisoote	integraalilaskenta	integral calculus
viknitruu	ommella yhteen	sew together
viksähtusef	vikavirtasuoja	fault current protection
viktorva	Viktoriaaninen	Victorian
vikva	viallinen	faulty; defective
vikvosafsta	vikasietotila	safe mode
vilaapjo	elonkorjaaja	reaper
vilaem	kastike	sauced; dressing; gravy; sauce
vilaf	sato	harvest; crop
vilafaap	korjata satoa	harvest; reap
vilafaapen	korjattu	harvested
vilafap	sadonkorjuu	harvesting
vilalkvem	kalja; olut	suds; ale; beer
vilalkvemtolö	olutpanimo; panimo	brewery
vilalkvemtoo	panna olutta	brew
vilalkvemtoojo	oluenpanija	brewer
vilbod	oljenkorsi; olki	straw
vilbod hängkamuto	himmeli	straw mobile
vildcuoo	rellestää	let loose; revel
vildcupova	hurtti; raisu	randy; rollicking; romping; boisterous; agitated; dashing
vildli	villisti; metkasti	wildly
vildmiupe	villikissa	wildcat
vildmol	erämaa; korpi	wildwood; woods; wilderness; desert; backwoods
vildoo	rehottaa	run wild; grow rampant
vildpe	villieläin	wild animal
vildrauu	peuhata	be wild; romp
vildrosta	erätalous	hunting and fishing economy
vildröhpe	villisika	wild boar
vildson	vintiö	imp; rascal; bugger; scamp
vildst	villein	wildest
vildva	villi	feral; savage; uncivilized; uncontrollable; ungovernable; wild
vildvao	villiys	savagery; wildness
vilejlo	kesanto	fallow
vilejloo	kesannoida	fallow
vilem	vilja	cereal; grain
vilemleilo	viljapelto	cornfield
vilemsi	viljat	cereals
vilep	elo; viljakasvi	liveliness; harvest; grain; crop; cereal; corn; crops
vilepap	elonkorjuu	harvest
vilepkutvo	sirppi	sickle
vilepkuutvö	harvesteri	harvester
vileppiboks	hinkalo; laari	bin; stall
vilepvaik	viljalaji	kind of cereal; cereal
vilepvio	lyhde	sheaf
vili	mukaan	according; according to; by
vilimoo	olla rajakkain	abut
vilisaa	konsultoida	confer with; consult
vilisaajo	konsultti	consultant
vilisaate	konsultointi	consultancy; consulting
vilisao	konsultaatio	consultation
vilisasoop	neuvotella	negotiate; talk terms
vilisasoopjo	neuvottelija	negotiator
vilisasoopsio	neuvottelukunta	advisory board
vilisasoopte	neuvottelu	negotiation; palaver; parley; counsel
vilkal	halla	freeze; frost
vilkaltekas	hallavahinko	frost damage
vilkayyrte	kato	crop failure; failure of crops
villeikotsif	peltopyy	partridge
villeilo	vainio; sarka; pelto; keto	field; grassland
villeilodim	pientare; piennar	verge of a field
villeimol	peltomaa; viljelysmaa	arable land
villo	viljelmä; viljelys	plantation
villö	farmi; maatila	farmstead; farmyard; farmhand; farm; ranch
villöejva	tilaton	landless
villöjo	tilallinen	farm owner
villökeejo	tilanhoitaja	estate steward
villö-ööfjo	tilanomistaja	farm owner
vilmol	viljelysmaa	farmland
viloka	liityntä	interface
vilrosta	maatalous; maatalous-	husbandry; farming; agriculture; agricultural
vilrostapösiojo	maatalousministeri	farm minister
vilrostatoote	maataloustuotanto	agricultural production
vilrostava	maatalouden; maataloudellinen; agraarinen	agrarian; agricultural
vilrotoova	satoisa	prolific
vilsem	jyvä	grain; pip
vilsempod	akana	husk
vilsempodsi	akanat	chaff
vilsemurlytal	puimatanner	threshing floor
vilsemurvo	varsta	flail
vilsemurvö	puimakone	thresher; threshing machine
vilsemuur	puida	thresh; thrash out
vilsemuurte	puinti	threshing
vilslo	vilja-aitta	granary; barn
viltolmä	talonpoika	peasant
viltolmäva	talonpoikainen	peasant
viltolöfjo	talollinen	farmer
vilva	viljava	fertile
vilvao	viljavuus	fertility; richness
vilö	yhtymä	combination; syndicate; merger; consortium; combine; concern
vimitetol	klubitalo	clubhouse
vimo	yhdiste	compound
vimä	ukkomies	married man
vimäm	puoliso; siippa	spouse; partner; consort; better half
vimämkoo	riiata	woo
vin	voitto	profit; triumph; victory; winning
vinet	internet; netti	Internet; net
vinetermark	verkkotunnus	domain name; domain
vinetfäflo	verkkokauppa	online store
vinethödavö	nettiradio	internet radio
vinetkavö	nettikamera	webcam
vinetkirlo	blogi	blog
vinetobhängvao	nettiriippuvuus	internet addiction
vinetrattarda	netiketti	netiquette
vinetsid	nettisivu	web page
vinet-sikariikvo	nettiselain; internet-selain	Internet browser; web browser
vinetsisid	nettisivusto; verkkosivusto	website
vinettesopvö	verkkosovitin	network adapter
vinet-tukasa	ip-osoite; verkko-osoite	ip address; web address
vinforhafa	voittopalkinto	winning prize
vinhääk	päihittää	clobber
vinkhöö	vinkua	whistle; whine; squeak; wheeze
vinlili	voitokkaasti	triumphantly
vinliva	voitollinen; voitokas	profitable; victorious
vinlmo	vinyyli	vinyl
vinmark	voitonmerkki	trophy
vinobtraaejva	voittoa tavoittelematon	nonprofit; non-profit
vinros	voitonriemu	triumph
vinrosva	voitonriemuinen	triumphant
vinsi	voitot	gains; profits; winnings
vinsumri	voittosumma	winnings
vintan	voitonpäivä	victory day
vintra	kisa; kilpa; kilpailu	rivalry; racing; race; emulation; contest; contention; competition; competitive
vintraa	kilpailla; kisata; mitellä	rival; contend; compete; vie
vintraajo	kilpailija	competitor; contender; contestant; racer; rival
vintradekatul	kilparata	racetrack; race track
vintraeejte	kilpailukielto	suspension
vintrapope	kilpahevonen	racing horse; racehorse
vintratuvö	kilpa-auto	race car
vintratuvööte	ralliautoilu	rallying
vintravijo	kilpakumppani	competitor
vintravote	kilpailukyky	competitiveness
vintravoteva	kilpailukykyinen	competitive
vinva	voittoisa	successful; winning; victorious
vinvoaaf	päihittää	vanquish; beat; outdistance; outdo; outmaneuver; outmanoeuvre; outrun
vinöev	istukka	placenta
vio	konteksti; yhteys	connexion; contact; context; fellowship; link; connection
vioaap	ottaa yhteyttä; kontaktoida	contact
vioap	kontakti; yhteydenotto	contact
vioapdirto	ajojohto; ajolanka	driving wire; contact wire; driving lead
viobsio	nivaska	bunch; bundle
viodasi	yhteystiedot	contact details; contact information
viof	yhteis-	common; aggregate; collective
viofdakavoote	yhteisymmärrys	consensus; mutual understanding
viofeo	symbioosi	symbiosis
viofeova	symbioottinen	symbiotic
viofforfäsi	yhteismarkkinat	common market
viofho	yhteishenki	community spirit; solidarity; team spirit
viofli	yhteisesti	in common; together; jointly
viofmol	yhteismaa	common land
viofokofo	yhteisvastuu	joint responsibility
viofsio	kommuuni	commune
viofuside	synkretismi	syncretism
viofva	yhteinen	joint; mutual; common; collective; shared
viofvao	yhteisyys	common feature
viofys	yhteisvaikutus	combined effect; synergy
viojo	yhteyshenkilö	contact person
violhöv	viulu	fiddle; violin
violhövjos	viulunjousi	violin bow
violhöövjo	viulisti	violinist
violkuk	orvokki	violet; pansy
viongte	kamppailu	struggle
viongtee	kamppailla	struggle
viongtee-en	kamppaili	struggled
viopao	yhteydenpito	communication
viorupato	yhdysside	link; nexus; bond; tie
viote	yhteistoiminta	cooperation
vioteete	kanssakäyminen	communion; sharing
vioteevao	yhteentoimivuus	interoperability; interoperation
viousob	toteemi	totem
vipa	kombo; yhdistelmä	combination; composition; composite; combo
vipaa	yhdistää	join; unite; unify; link together; consolidate; connect; compound; combine; bring together; amalgamate; merge
vipaa kat	kytkeä valo	turn on light
vipaaen	yhdistetty	merged; amalgamated; pooled; unified; connected; combined; incorporated; compounded
vipaaliva	konnektionistinen	connectionist
vipaate	yhdistely; yhdistäminen	associating; unification; pooling; merging; connection; connecting; combination; amalgamation; aggregation; aggregating; combining
vipaava	yhdistävä	uniting; connective; combining; unifying; interconnecting
vipaik	yhdysosa	connecting part; connecting portion; element
vipalin	yhdysviiva	hyphen
vipamark	yhdysmerkki	hyphen
viparauleito	kytkinlevy	clutch plate
vipasa	yhdyssana	compound; compound word
vipatul	yhdyskäytävä	gateway; skybridge
vipatöto	kollaasi	collage
vipavee	kätellä	shake hands
vipaveete	kättely	handshake
vipavö	kytkin	switch; switcher; clutch
vipiik	niitata; nitoa	staple; rivet
vipiiken	nidottu	paperback
vipiikte	niittaus	riveting
vipiikvo	niittaaja; nitoja	riveter; stapler
vipik	niitti	staple; rivet
vipivillö	kolhoosi	collective farm; kolkhoz
viplaast	muurata	brick; brick in; do masonary; lay brickwork
viplaasten	muurattu	walled
viplaastjo	muurari	mason; bricklayer
viplaastte	muuraus	masonry
viplaastte nistauur	muuraus rapautuu	masonry corrodes
vipoaag	temmata mukaansa	carry away
vipoaagva	mukaansatempaava	compelling; engaging; engrossing; immersive; spellbinding
vipovin	turnaus	joust; tournament
vipö	allianssi; koalitio; liitto; unioni	coalition; covenant; federation; league; union; alliance
vipöhyl	liittovaltion; federaatio; liittovaltio	federal; union; federation; federate; federal state
vipöhylva	federatiivinen	federal; federative
vipöhylvao	federalismi	federalism
vipöjo	liittolainen	allied; ally; allying
vipökansjo	liittokansleri	chancellor
vipösio	liittouma; liittoutuma	alliance
vipösopto	liittosopimus	articles of confederation
vipötuu	liittoutua	ally
vipötuuen	liittoutunut	allied; confederate
vipöusroboks	liitonarkki	ark of the covenant
vir	virus; virus-	viral; virus
viraflo	naapuri-	neighboring; neighbouring
viraflojo	naapuri	neighbor; neighboring; neighbour
viraflovao	naapuruus	neighborhood; neighborliness
virafstlojo	lähinaapuri	nearest neighbor
viraraa	kuhertaa; kujertaa	coo
viraraate	kuhertelu; kujerrus	cooing; flirting
viraupaa	kietoa	wrap
virauu	kieputtaa	whirl
virda	virologia	virology
virii	ynnätä	add up
viriingte	ketjuttaminen; ketjutus	chaining; linking
virili	yhteensä	totaled; totaling; totals; in all; all told; altogether; total
viring	lenkki	link
virisooen	yhteenlaskettu	total; added; aggregated
virisoote	yhteenlasku	addition
virisoovö	yhteenlaskin	adder
virohösio	bändi; yhtye	band; ensemble
viropöjosio	yhtiön hallitus	board of directors
virosio	yhtiö; yhtiö-	corporation; company; corporate
virosio visahäp	yhtiökokous	general meeting; corporate meeting
virosiojär	yhtiöjärjestys	articles of association; statutes of association
virret	virustauti	viral disease
virsi	virukset	viruses
virtaartvao	virulenssi	virulence
virtart	virustartunta	viral infection
viruhitvat	sideharso	gauze
viruli	sidoksissa	be bound to; be tied to; tied up; affiliated
virumo	sideaine	binder; binding agent
virupaa	sitoa	bind; tie; tie in; tie up; bandage
virupaaen	sidottu	bound; lashed; tied
virupaali	sitovasti	obligingly
virupaate	sidonta	liaison; binding; dressing
virupaava	sitova	adhesive; binding
virupaiksio	sidosryhmä	interest group
virupalö	sitomo	bindery
virupato	side; sidos	tie; ligament; bandage; bond; dressing
virupatosi	siteet	bindings; ties; bandages
virupava	sidonnainen	bound
virupavao	sidonnaisuus	engagement; linkage
virupavivev	sidekudos	connective tissue
virutuo	yhteenliittymä	coalition; union; consortium; syndicate
virutuuen	yhteen liittyneet	federated; joined together
virutuute	yhteenliittyminen	joining together
viryspahprotmo	interferoni	interferon
viräjte	sotku	mess; entanglement; tangle; muddle; jumble; clutter; complexity; maze
viräjtee	sotkea	mess; snarl; ravel; muddle; mess up; implicate; fuck up; entangle; disarrange; mix
viräjteva	sotkuinen	cluttered; messy
vis	järki; tolkku; älli	sense; wits; reason; nous
visaate	puhelu	call
visadöög	yhteentörmätä	collide
visadöögte	yhteentörmäys	clash; collision
visahli	ovelasti; viekkaasti	cunningly; slyly
visahva	luihu; ovela; kavala; viekas	untruthful; shifty; shrewd; devious; sly; sneaky; traitorous; treacherous; untrustworthy; roguish; wily; under handed; insinuating; insidious; guileful; dodgy; foxy; deceitful; cunning; crafty; canny; astute; artful; perfidious
visahva yyste	ovela vaikuttaminen	cunning influence
visahvao	kavaluus; oveluus; viekkaus	deviousness; guile; cunning; craftiness; wiliness
visahyys	manipuloida	manipulate
visahyyste	manipulaatio; manipulointi	manipulation
visahäp	palaveri; kokous	gathering; summit; meeting; convocation; conference; assemblage; powwow
visahäplo	kokouspaikka	meeting place
visahäptil	kokoustila	meeting room
visahäptolik	kokoushuone	boardroom
visasa	keskustelu	debate; sharing; talk; conversation; colloquy; discussion; discourse
visasaa	jutella; keskustella	confer; talk; shoot the breeze; discuss; debate; consult; confabulate; chat; be discussed; converse
visasaaen	keskusteltu	discussed
visasaajo	keskustelija	debater; conversationalist
visasaanen	keskustelemassa	discussing
visasaate	juttelu	chin-wag
visasabot	chatbot	chatbot
visasagaagjo	kielikello	talebearer
visasaikleilo	keskustelupalsta	discussion board
visasalo	foorumi; keskustelupaikka	discussion place; forum
visasavijo	keskustelukumppani	interlocutor
visat	yhteensattuma	coincidence
visavö	puh.; puhelin	tel.; telephone; phone
visavökasiö	puhelinnumero	telephone number
visavölurik	puhelinluettelo	phonebook
