Tunniste	Englanti	Suomi	Vosa
2717	He said you don't like to watch movies.	Hän sanoi, ettet halua katsella elokuvia.	Hä saaen, syt ja ej ofraa sikaa eokatosi.
2718	He studies at Boston University.	Hän opiskelee Bostonin yliopistossa.	Hä apdaav in Boston yldavlö.
2719	He thinks we don't want to go.	Hän luulee, että emme halua mennä.	Hä mejuus, syt ajsi ej ofraa tuu.
2720	He works at a computer company in New York.	Hän työskentelee tietokoneyrityksessä New Yorkissa.	Hä sitöö in davö tralö in Njuu Jook.
2721	He'll be back in 10 minutes.	Hän tulee takaisin 10 minuutissa.	Hä uut retu in 10 censi.
2722	He's a very good student.	Hän on erittäin hyvä opiskelija.	Hä oo errili hava apdaavjo.
2723	He's an American.	Hän on amerikkalainen.	Hä oo amerjo.
2724	He's an Engineer.	Hän on insinööri.	Hä oo tekdajo.
2725	He's coming soon.	Hän on tulossa pian.	Hä oo uutnen ipne.
2726	He's faster than me.	Hän on minua nopeampi.	Hä oo noppir il aj.
2727	He's in the kitchen.	Hän on keittiössä.	Hä oo in kulo.
2728	He's not in right now.	Hän ei ole juuri nyt paikalla.	Hä ej oo jusli nen la lo.
2729	He's right.	Hän on oikeassa.	Hä oo inrat.
2730	He's very annoying.	Hän on hyvin ärsyttävä.	Hä oo hali aryysva.
2731	He's very famous.	Hän on hyvin kuuluisa.	Hä oo hali dahonva.
2732	He's very hard working.	Hän on erittäin ahkera.	Hä oo errili piriteva.
2733	Hello.	Hei.	Hai.
2734	Help yourself! Take what is served!	Auta itseäsi! Ota itse tarjottavat!	Vyy ja aut! Aap aut oftukaatava!
2735	Help!	Auta!	Vyy ja!
2736	Here is a few letters for you to learn.	Tässä on muutama kirjain, jotka sinun on opittava.	Täin oo ipsi kirkasi, kosi ja piit daav.
2737	Here is your salad.	Tässä on salaattisi.	Täin oo jaof salem.
2738	Here it is.	Tässä se on.	Täin it oo.
2739	Here, please.	Tässä, ole hyvä.	Täin, oo ja hava.
2740	Here's my number.	Tässä on numeroni.	Täin oo ajof kasiö.
2741	Here's your order.	Tässä on tilauksesi.	Täin oo jaof tif.
2742	Hi, is Mrs. Smith there, please?	Hei, onko rouva Smith siellä, kiitos?	Hej, ooko roäm Smith itla, haforsa?
2743	His family is coming tomorrow.	Hänen perheensä on tulossa huomenna.	Häof baj oo uutnen detanna.
2744	His room is very small.	Hänen huone on hyvin pieni.	Häof tolik oo errili ipva.
2745	His son.	Hänen poikansa.	Häof son.
2746	Hold on!	Odottakaa!	Obnoo ja!
2747	How about on Saturday?	Entä lauantaina?	A ko na hytan?
2748	How are you paying?	Kuinka maksat?	Koli ja rovfaa?
2749	How are you?	Mitä kuuluu?	Ko obhöö?
2750	How are you?	Kuinka voit?	Koli ja voo?
2751	How are your parents?	Miten vanhempasi voivat?	Koli jaof mamsi voo?
2752	How beautiful she is!	Kuinka kaunis hän onkaan!	Koli kava hä oo a?
2753	How do I get there?	Miten pääsen sinne?	Koli aj aftuu itle?
2754	How do I get to Daniel Street?	Kuinka pääsen Tanelinkadulle ?	Koli aj aftuu Danielof tauntul?
2755	How do I get to the American Embassy?	Kuinka pääsen Yhdysvaltain suurlähetystöön?	Koli aj aftuu USAlo hylsiedlo?
2756	How do I use this?	Kuinka voin käyttää tätä?	Koli aj voo teoo tä?
2757	How do you know?	Mistä tiedät?	Koöb ja daa?
2758	How do you like it?	Mitä pidät siitä?	Ko ja öbraa it?
2759	How do you pronounce that?	Kuinka tuo äännetään?	Koli ät sahööta?
2760	How do you say it in English?	Kuinka sanot sen englanniksi?	Koli ja saa it mu eng?
2761	How do you spell it?	Kuinka se kirjoitetaan?	Koli it kiirta?
2762	"How do you spell the word ""Seattle?"""	"Kuinka tavaat sanan ""Seattle?"""	"Koli ja saiik sa ""Seattle?"""
2763	How does it taste?	Miltä se maistuu?	Koli it emfii?
2764	How far is it to Chicago?	Kuinka kaukana on Chicago?	Koli far oo Chicago?
2765	How far is it?	Kuinka kaukana se on?	Koli far it oo?
2766	How is she?	Kuinka hän voi?	Koli hä voo?
2767	How long are you going to stay in California?	Kuinka kauan aiot olla Kaliforniassa?	Koli luna ja nesoo oo in Kalifornlo?
2768	How long are you going to stay?	Kuinka kauan aiot viipyä?	Koli luna ja nesoo apnoo?
2769	How long did it take?	Kuinka kauan se kesti?	Koli luna it noaapen?
2770	How long does it take by car?	Kuinka kauan se vie autolla?	Koli luna it noaap vy tuvö?
2771	How long does it take to get to Georgia?	Kuinka kauan kestää pääsy Georgiaan?	Koli luna noaap aftuo Georglo?
2772	How long have you been here?	Kuinka kauan olet ollut täällä?	Koli luna ja oo ooen täla?
2773	How long have you been in America?	Kuinka kauan olet ollut Amerikassa?	Koli luna ja oo ooen in Amerlo?
2774	How long have you lived here?	Kuinka kauan olet asunut täällä?	Koli luna ja oo elooen täla?
2775	How long have you worked here?	Kauanko olet ollut täällä töissä?	Lunako ja oo ooen täla in tösi.
2776	How long is it?	Kuinka pitkä se on?	Koli luva it oo?
2777	How long is the flight?	Kuinka pitkä lento on?	Koli luva huo oo?
2778	How long will it take?	Kauanko se kestää?	Lunako it noaap?
2779	How long will you be staying?	Kuinka kauaksi aikaa jäät?	Koli luna ja jääne?
2780	How many are they?	Kuinka monta heitä on?	Siko häsi oo?
2781	How many children do you have?	Kuinka monta lasta sinulla on?	Siko ipmämsi ja oof?
2782	How many flowers are they?	Kuinka monta kukkaa ne ovat?	Siko kuksi itsi oo?
2783	How many hours a week do you work?	Kuinka monta tuntia viikossa työskentelet?	Siko dinsi in gun ja sitöö?
2784	How many languages do you speak?	Kuinka montaa kieltä puhut?	Siko vossi ja sasaa?
2785	How many miles is it to Pennsylvania?	Kuinka monta mailia on Pennsylvaniaan?	Siko 1609 metrsi oo tu Pennsylvania?
2786	How many people are there in New York?	Kuinka monta ihmistä on New Yorkissa?	Siko mämsi oof Njuu Jook?
2787	How many people do you have in your family?	Kuinka monta teitä on perheessäsi?	Siko jasi oof jaof baj?
2788	How many people are there in the restaurant?	Kuinka monta ihmistä on ravintolassa?	Siko mämsi oo in roemlo?
2789	How many sisters do you have?	Kuinka monta siskoa sinulla on?	Siko bajnossi ja oof?
2790	How much altogether?	Kuinka paljon yhteensä?	Kori virili?
2791	How much are these earrings?	Kuinka paljon nämä korvakorut maksavat?	Koli rovrii täsi höevrokavosi?
2792	How much do I owe you?	Kuinka paljon olen sinulle velkaa?	Kori aj oof pitrov tu ja?
2793	How much does it cost per day?	Kuinka paljon se maksaa päivää kohti?	Kori it rovrii obri tan?
2794	How much does this cost?	Kuinka paljon tämä maksaa?	Kori tä rovrii?
2795	How much is it to go to Miami?	Kuinka paljon Miamiin meneminen maksaa?	Kori rovrii tuu Miami?
2796	How much is it?	Paljonko se maksaa?	Kori it rovrii?
2797	How much is this?	Kuinka paljon tämä maksaa?	Kori tä rovrii?
2798	How much money do you have?	Kuinka paljon rahaa sinulla on?	Kori ja oof rov?
2799	How much money do you make?	Kuinka paljon rahaa ansaitset?	Kori ja roaaf rov?
2800	How much will it cost?	Kuinka paljon se maksaa?	Kori it rovrii?
2801	How much would you like?	Kuinka paljon haluaisit?	Kori ja ofraaif?
2802	How old are you?	Kuinka vanha olet?	Koli unva ja oo?
2803	How tall are you?	Kuinka pitkä olet?	Koli luva ja oo?
2804	How was the trip?	Millainen matka oli?	Kova rotuo ooen?
2805	How was the video?	Millainen video oli?	Kova kahöto ooen?
2806	How's business?	Miten menee?	Koli tuu?
2807	How's the weather?	Millainen sää on?	Kova nista oo?
2808	How's work going?	Kuinka työ sujuu?	Koli tö havotuu?
2809	Hurry up!	Kiirehdi!	Iprinoo ja!
2810	Hurry!	Kiire!	Iprino!
2811	I agree.	Olen samaa mieltä.	Aj remioo.
2812	I am a girl.	Olen tyttö.	Aj oo nos. (ipäm)
2813	I am not a girl.	En ole tyttö.	Aj ej oo nos?
2814	I ate already.	Minä söin jo.	Aj eemen ripnen.
2815	I beg you pardon.	Anteeksi en kuullut.	Ahhafali aj ej vohööen.
2816	I begin to dress.	Aloin pukeutua.	Aj nööen autvaat.
2817	I believe you.	Minä uskon sinua.	Aj uus ja?
2818	I bought a shirt yesterday.	Ostin eilen paidan.	Aj ääfen edtanna ylvat.
2819	I brush my teeth.	Harjaan hampaani.	Aj siheörvoo ajof bitvesi.
2820	I came with my family.	Tulin perheeni kanssa.	Aj uuten vi ajof baj.
2821	I can do what you said.	Voin tehdä sen, mitä sanoit.	Aj voo tee it, ko ja saaen?
2822	I can open the door. (I can't open the door. )	Voin avata oven. (En voi avata ovea.)	Aj voo ouup ouv. (Aj ej voo ouup ouv.)
2823	I can swim.	Osaan uida.	Aj davoo vuu.
2824	I can't get this lift to work.	En saa tätä hissiä toimimaan.	Aj ej aaf tä yllyvö otee.
2825	I can't hear you clearly.	En kuule sinua selvästi.	Aj ej vohöö ja soklirli.
2826	I close the window.	Suljen ikkunan.	Aj puoo kauv.
2827	I comb my hair.	Kampaan hiukseni / tukkani.	Aj päheörvoo (ajof päheörsi / ajof päsiheör).
2828	I didn't open the door.	En avannut ovea.	Aj ej ouupen ouv.
2829	I don't care.	En välitä.	Aj ej forkee.
2830	I don't feel well.	En voi hyvin.	Aj ej voo hali.
2831	I don't get you.	En tavoita sinua / pääse teille.	Aj ej tuaaf ja / aftuu jasi.
2832	I don't have a girlfriend.	Minulla ei ole tyttöystävää.	Aj ej oof noshavijo.
2833	I don't have any money.	Minulla ei ole rahaa.	Aj ej oof rov.
2834	I don't have enough money.	Minulla ei ole tarpeeksi rahaa.	Aj ej oof hanidri rov.
2835	I don't have time right now.	Minulla ei ole aikaa juuri nyt.	Aj ej oof no jusli nen.
2836	I don't know how to use it.	En osaa käyttää sitä.	Aj ej davoo teoo it.
2837	I don't know.	Minä en tiedä.	Aj ej daa.
2838	I don't like him.	En pidä hänestä.	Aj ej öbraa hä.
2839	I don't like it.	En pidä siitä.	Aj ej öbraa it.
2840	I don't like to watch TV.	En pidä television katselusta.	Aj ej öbraa sikaa kadavö.
2841	I don't mind.	En välitä.	Aj ej forkee.
2842	I don't open the door.	En avaa ovea.	Aj ej ouup ouv.
2843	I don't speak English very well.	En puhu englantia kovin hyvin.	Aj ej sasaa eng errili hali.
2844	I don't speak very well.	En puhu kovin hyvin.	Aj ej sasaa errili hali.
2845	I don't think he will win his game.	En usko, että hän voittaa pelinsä.	Aj ej uus, syt hä viinne häof ple.
2846	I don’t believe it. I don't think so.	En usko siihen. En ajattele niin.	Aj ej uus it. Aj ej soo itli.
2847	I don't understand what you are saying.	En ymmärrä mitä sanot.	Aj ej dakavoo ko ja saa?
2848	I don't understand.	En ymmärrä.	Aj ej dakavoo.
2849	I don't want it.	En halua sitä.	Aj ej ofraa it.
2850	I don't want that.	En halua tuota.	Aj ej ofraa ät.
2851	I don't want to bother you.	En halua häiritä / vaivata sinua.	Aj ej ofraa cuyyv / tesaaf ja.
2852	I drink less water than him.	Juon vähemmän vettä kuin hän.	Aj veem rip vam li hä.
2853	I feel good.	Voin hyvin.	Aj voo hali.
2854	I forget.	Unohdan.	Aj öös.
2855	I gave the students a chance to say a few words too.	Annoin opiskelijoille mahdollisuuden sanoa myös muutaman sanan.	Aj faaen tu apdaavjosi vovao saa ali ipsi sasi.
2856	I get here at 11.	Tulen tänne kello 11.	Aj uut täle na 11. (basis)
2857	I get off of work at 6.	Lähden töihin kello 6.	Aj urtuu tösi na 6. (sik)
2858	I get on (off) the bus.	Nousen (poistun bussista) bussiin.	Aj yyl tu (yrtuu ut) siotuvö.
2859	I give up.	Luovutan.	Aj faofuur.
2860	I go back to bedroom.	Palaan makuuhuoneeseen.	Aj reuut tu leiotolik.
2861	I go to the bathroom.	Menen kylpyhuoneeseen.	Aj tuu battolik.
2862	I got in an accident.	Jouduin onnettomuuteen.	Aj auttuu kas.
2863	I have flu (a cold) / a runny nose.	Minulla on flunssa / nuha.	Aj oof fluret / votnesret.
2864	I have a headache.	Minulla on päänsärkyä.	Aj oof päahfi.
2865	I have a lot to eat.	Minulla on paljon syötävää.	Aj oof piri eemva.
2866	I have a lot to do.	Minulla on paljon tekemistä.	Aj oof piri teete.
2867	I have a pencil and two books. (a pair of shoes / a pair of slippers)	Minulla on lyijykynä ja kaksi kirjaa. (pari kenkää / pari tossua)	Aj oof moCkirvo a du kirtosi. (vidu tuvetosi / vidu vultuvetosi)
2868	I have a question I want to ask you. I want to ask you a question.	Minulla on kysymys, jonka haluan kysyä sinulta. Haluaisin kysyä sinulta kysymyksen.	Aj oof koote, koö aj ofraa koo ut ja. Aj ofraaif koo ut ja koote.
2869	I have a reservation.	Minulla on varaus.	Aj oof reesob.
2870	I have bought the car.	Olen ostanut auton.	Aj oo ääfen tuvö.
2871	I have fewer brothers than you.	Minulla on vähemmän veljiä kuin sinulla.	Aj oof rip bajsonsi il ja.
2872	I have lived in Shanghai for a long time.	Olen asunut pitkään Shanghaissa.	Aj oo elooen luna in Shanghai.
2873	I have money.	Minulla on rahaa.	Aj oof rov.
2874	I have no time to see you.	Minulla ei ole aikaa nähdä sinua.	Aj ej oof no vokaa ja.
2875	I have not (haven't) a red pencil.	Minulla ei ole punaista lyijykynää.	Aj ej oof redva moCkirvo.
2876	I have not (haven't) opened the door.	En ole avannut ovea.	Aj ej oo ouupen ouv.
2877	I have one in my car.	Minulla on yksi autossani.	Aj oof is in ajof tuvö.
2878	I have only a few seconds left to remind you that your work on these lessons is by no means over.	Minulla on vain muutama sekunti jäljell muistuttaa teitä, että työsi näiden oppituntien aikana ei ole mitenkään ohi.	Aj oof isli ipsi bansi la järi teobsöö jasi, syt jaof tö na täsi davdinsi ej oo koli sidli.
2879	I have opened the door.	Olen avannut oven.	Aj oo ouupen ouv.
2880	I have pain in my arm.	Minulla on kipua käsivarressa.	Aj oof ahfi in lupave.
2881	I have three children, two girls and one boy.	Minulla on kolme lasta, kaksi tyttöä ja yksi poika.	Aj oof tre ipmämsi, du nossi a is son.
2882	I have to go to the post office.	Minun on mentävä postitoimistoon.	Aj piit tuu pagatotelo.
2883	I have to wash my clothes.	Minun on pestävä vaatteeni.	Aj piit voosh ajof vatsi.
2884	I have toothache / stomach-ache / a cold / a cough / a fever.	Minulla on hammassärky / vatsakipu / flunssa / yskä / kuume.	Aj oof bitve ahfi / mahev ahfi / fluret / köhret / läkret.
2885	I have two sisters.	Minulla on kaksi siskoa.	Aj oof du bajnossi.
2886	I haven't been there.	En ole ollut siellä.	Aj ej oo ooen itla.
2887	I haven't finished eating.	En ole lopettanut syömistä.	Aj ej oo teöönen eemte.
2888	I haven't had lunch yet.	En ole vielä syönyt lounasta.	Aj ej oo pirnen eemen midtanem.
2889	I haven't heard anything about him since you wrote to me last month.	En ole kuullut hänestä mitään, sen jälkeen kun kirjoitit minulle viime kuussa.	Aj ej oo vohööen öb hä ö, ne it na ja kiiren tu aj na edönva hyn.
2890	Hopefully you and your wife have a nice trip.	Toivottavasti sinulla ja vaimollasi on mukava matka.	Neraavoli ja a jaof viäm oof hamiva rotuo.
2891	I hope you won't find it all too difficult to understand and to remember.	Toivon, että sinusta ei ole aivan liian vaikeaa ymmärtää ja muistaa.	Aj neraa, syt öb ja ej oo fulli ongva dakavoo a söö.
2892	I know.	Tiedän.	Aj daa.
2893	I leave my house to go to the school.	Lähden talostani mennäkseni kouluun.	Aj urtuu ajof tol for tuu davlo.
2894	I like her.	Pidän hänestä.	Aj öbraa hä.
2895	I like it.	Pidän siitä.	Aj öbraa it.
2896	I like Italian food.	Pidän italialaisesta ruuasta.	Aj öbraa itava em.
2897	I live in California.	Asun Kaliforniassa.	Aj eloo in Kalifornlo.
2898	I lost my watch.	Kadotin kelloni.	Aj pakayyren ajof novo.
2899	I love you.	Rakastan sinua.	Aj raa ja.
2900	I made a mistake.	Tein virheen.	Aj tee-en sovik. (soviiken)
2901	I made this cake.	Tein tämän kakun.	Aj tooen tä kakem.
2902	Should I get myself a new pair of glasses?	Pitääkö minun hankkia itselleni uudet lasit?	Piitko aj foraaf tu aut novva kaevglasi.
2903	I must have radio set checked.	Minun on tarkistutettava radiovastaanotin.	Aj piit tuaistaark hödavö ögapvö.
2904	I need a doctor.	Tarvitsen lääkäriä.	Aj niid diterjo.
2905	I need another key.	Tarvitsen toisen avaimen.	Aj niid duva lukvo.
2906	I need some tissues.	Tarvitsen muutaman paperinenäliinan.	Aj niid ipsi papr nesvapsi.
2907	I need this to get there by tomorrow.	Tarvitsen tämän päästäkseni sinne huomiseen mennessä.	Aj niid tä for aftuu itle tuno detanna.
2908	I need to change clothes.	Minun on vaihdettava vaatteita.	Aj piit ermupaa vatsi.
2909	I need to go home.	Minun täytyy mennä kotiin.	Aj piit tuu bal.
2910	I need to go now.	Minun pitää mennä nyt.	Aj piit tuu nen.
2911	I need to look at your car.	Minun on katsottava autoasi.	Aj piit kaa jaof tuvö.
2912	I need to practice my English.	Minun on harjoiteltava englantiani.	Aj piit sivopiir ajof eng.
2913	I only have dollars.	Minulla on vain dollareita.	Aj oof erisli dolrovsi.
2914	I only want a snack.	Haluan vain välipalan.	Aj ofraa erisli välem.
2915	I open the door.	Avaan oven.	Aj ouup ouv.
2916	I opened the door.	Avasin oven.	Aj ouupen ouv.
2917	I pick you up in front of the hotel.	Noudan sinut hotellin edestä.	Aj utaag ja kaed rotuotol.
2918	I prefer to go rather than to stay.	Menen mieluummin kuin jään.	Aj tuu mihapirli il jää.
2919	I’d rather go to school.	Mieluummin menen kouluun.	Aj öbraa hapir tuu davlo.
2920	I put on my slippers.	Laitoin tossut jalkaani.	Aj paaen vultuvetosi le ajof tuve.
2921	I put on my underclothes, shirt and trouser.	Laitoin alusvaatteeni, paidan ja housut päälleni.	Aj paaen alvatsi, ylvat a harvat le aj.
2922	I remember.	Minä muistan.	Aj söö.
2923	I speak a little English.	Puhun vähän englantia.	Aj sasaa ipri eng.
2924	I speak two languages.	Puhun kahta kieltä.	Aj sasaa du vossi.
2925	I still have a lot of things to buy.	Minulla on vielä paljon tavaroita ostettavana.	Aj piit pirnen piri fätosi ääf.
2926	I still have a lot to do.	Minulla on vielä paljon tehtävää.	Aj piit pirnen piri tee.
2927	I still have to brush my teeth and take a shower.	Minun täytyy vielä harjata hampaani ja käydä suihkussa.	Aj piit pirnen siheörvoo ajof bitvesi a uttuu tset.
2928	I still haven't decided.	En ole vieläkään päättänyt.	Aj ej oo pirnen a pääten.
2929	I take a shower.	Käyn suihkussa.	Aj uttuu tsetvosh.
2930	I take off my slippers and put on my socks and shoes.	Otan tossut pois ja laitan sukat ja kengät.	Aj aap vultuvetosi yr a paa soksi a tuvetosi.
2931	I take ten minutes to get there.	Vie kymmenen minuuttia päästä sinne.	Bas censi gaa aftuu itle.
2932	I think I need to see a doctor.	Minun varmaan on mentävä lääkäriin.	Aj mejvarmli piit tuu diterjo.
2933	I think it tastes good.	Minusta se maistuu hyvältä.	Ob aj (ob ajof mi) it autemfii hava.
2934	I think it's very good.	Minusta se on erittäin hyvä.	Ob aj it oo errili hava.
2935	I think so.	Luulen niin.	Aj mejuus itli.
2936	I think those shoes are very good looking.	Mielestäni nuo kengät ovat erittäin hyvännäköisiä.	Ob ajof mi ätsi tuvetosi oo errili halikava.
2937	I think we've just enough time to learn a few more irregular verbs.	Luulen, että meillä on ihan tarpeeksi aikaa oppia muutama epäsäännöllinen verbi lisää.	Aj mejuus, syt ajsi oof fulli hanidri no daav ipsi ejregva tesasi pir.
2938	I think you have too many clothes.	Mielestäni sinulla on liikaa vaatteita.	Ob ajof mi ja oof ylri vatsi.
2939	I thought he said something else.	Luulin, että hän sanoi jotain muuta.	Aj mejuusen, syt hä saaen ö tua.
2940	I thought the clothes were cheaper.	Ajattelin, että vaatteet olivat halvempia.	Aj sooen, syt vatsi ooen lyrovpir.
2941	I tie my tie.	Sidon solmioni.	Aj virupaa ajof vatknot.
2942	I trust you.	Luotan sinuun.	Aj uscuu ja.
2943	I turn off the light.	Sammutan valon.	Aj teönböön kat.
2944	I understand now.	Ymmärrän nyt.	Aj dakavoo nen.
2945	I usually drink coffee at breakfast.	Juon yleensä kahvia aamiaisella.	Aj veem tihna kofvem na entanem.
2946	I want to buy something.	Haluan ostaa jotain.	Aj ofraa ääf ö.
2947	I want to contact our embassy.	Haluan ottaa yhteyttä suurlähetystöömme.	Aj ofraa aap vio tu ajsiof hylsiedlo.
2948	I want to eat.	Haluan syödä.	Aj ofraa eem.
2949	I want to give you a gift.	Haluan antaa sinulle lahjan.	Aj ofraa faa ja tofa.
2950	I want to send this package to the United States.	Haluan lähettää tämän paketin Yhdysvaltoihin.	Aj ofraa pagaa tä päk to USAlo.
2951	I want to show you something.	Haluan näyttää sinulle jotakin.	Aj ofraa tekaa ja ö.
2952	I want you to tell me this.	Haluan sinun kertovan tämän minulle.	Aj ofraa ja öbsasaa tä tu aj.
2953	I was about to leave the restaurant when my friends arrived.	Olin poistumaisillani ravintolasta, kun ystäväni saapuivat.	Aj ooen rafli yrtuu ut roemlo, na ajof havijosi uuten.
2954	I was going to the library.	Olin menossa kirjastoon.	Aj ooen tuu sikirlö.
2955	I was in the library.	Olin kirjastossa.	Aj ooen in sikirlö.
2956	I went to the supermarket, and then to the computer store.	Kävin supermarketissa ja sitten tietokonekaupassa.	Aj uttuuen pifäflo a itne davöfäflo.
2957	I will not (won't) open the door.	En tule avaamaan ovea.	Aj ej ouupne ouv.
2958	I will open the door. I shall open the door.	Tulen avaamaan oven. Minun tulee avata ovi.	Aj ouupne ouv. Aj piit ouup ouv.
2959	I wish I could go and visit my aunt tomorrow.	Toivon, että voisin mennä käymään tätini luona huomenna.	Aj neraa, syt aj vooif uttuu ajof cejäm detanna.
2960	I wish I could talk to you about art.	Toivon, että voisin puhua teille taiteesta.	Aj neraa, syt aj vooif sasaa tu jasi öb kav.
2961	I wish I had met my uncle yesterday.	Toivon, että olisin tavannut setäni eilen.	Aj neraa, syt aj ooif ögkaaen ajof cejmä edtanna.
2962	I wish I had one.	Toivon, että minulla olisi yksi.	Aj neraa, syt aj oof is.
2963	I wish I were a bird.	Toivon, että olisin lintu.	Aj neraa, syt aj ooif sif.
2964	I won't believe it unless I see it with my own eyes.	En usko sitä, ellen näe sitä omin silmin.	Aj ej uus it, if aj ej vokaa it vy öfva kaevsi.
2965	I won't phone my friend till Bob arrived.	En soita ystävälleni ennen kun Bob saapuu.	Aj ej visavöö tu ajof havijo en na Bob uut.
2966	I won't say anything until you tell him.	En sano mitään ennen kuin kerrot hänelle.	Aj ej saa ö en li ja öbsasaa tu hä.
2967	I work for bank.	Työskentelen pankissa.	Aj sitöö in rovlö.
2968	I'd like a map of the city.	Haluaisin kaupungin kartan.	Aj ofraaif taunlo kaloto.
2969	I'd like a non-smoking room.	Haluaisin savuttoman huoneen.	Aj ofraaif smokejva tolik.
2970	I'd like a room with two beds please.	Haluaisin huoneen, jossa kaksi sänkyä.	Aj ofraaif tolik vi du nukossi. (koin oo du nukossi)
2971	I'd like a single room.	Haluaisin yhden hengen huoneen.	Aj ofraaif is hojo tolik.
2972	I'd like a table near the window.	Haluaisin pöydän lähellä ikkunaa.	Aj ofraaif laos raf kauv.
2973	I'd like some water too, please.	Haluaisin myös vettä.	Aj ofraaif ali vam.
2974	I'd like the number for the Hilton hotel please.	Haluaisin Hilton-hotellin numeron.	Aj ofraaif Hilton rotuotol siö.
2975	I'd like to be called at 7.	Haluaisin, että minulle soitetaan klo 7.	Aj ofraaif, syt tu aj visavööta na 7.
2976	I'd like to buy a bottle of water, please.	Haluaisin ostaa pullon vettä.	Aj ofraaif ääf botl vam.
2977	I'd like to buy a phone card, please.	Haluaisin ostaa puhelinkortin.	Aj ofraaif ääf visavö kart.
2978	I'd like to buy something.	Haluaisin ostaa jotain.	Aj ofraaif ääf ö.
2979	I'd like to call the United States.	Haluaisin soittaa Yhdysvaltoihin.	Aj ofraaif visavöö tu USAlo.
2980	I'd like to eat at 5th street restaurant.	Haluaisin syödä 5. kadun ravintolassa.	Aj ofraaif eem in fivva tauntul roemlo.
2981	I'd like to exchange this for Dollars.	Haluaisin vaihtaa tämän dollareiksi.	Aj ofraaif ermupaa tä mu dolrovsi.
2982	I'd like to go for a walk.	Haluaisin mennä kävelylle.	Aj ofraaif tuu vetuu.
2983	I'd like to go home.	Haluaisin mennä kotiin.	Aj ofraaif tuu bal.
2984	I'd like to go shopping.	Haluaisin mennä ostoksille.	Aj ofraaif tuu ääf.
2985	I'd like to go to the store.	Haluaisin mennä kauppaan.	Aj ofraaif tuu fäflo.
2986	I'd like to make a phone call.	Haluaisin soittaa.	Aj ofraaif visavöö.
2987	I'd like to make a reservation.	Haluaisin tehdä varauksen.	Aj ofraaif tee reesob.
2988	I'd like to rent a car.	Haluaisin vuokrata auton.	Aj ofraaif lonfääf tuvö.
2989	I'd like to send a fax.	Haluan lähettää faksin.	Aj ofraa pagaa farrekir.
2990	I'd like to send this to America.	Haluan lähettää tämän Amerikkaan.	Aj ofraa pagaa tä tu USAlo.
2991	I'd like to speak to Mr. Smith, please.	Haluaisin puhua herra Smithille.	Aj ofraaif sasaa tu romä Smith.
2992	I'd like to use the internet	Haluaisin käyttää Internetiä	Aj ofraaif teoo vinet.
2993	I'll be right back.	Tulen pian takaisin.	Aj uut ipne retu.
2994	I'll call back later.	Soitan takaisin myöhemmin.	Aj visavöö retu nepir.
2995	I'll call you on Friday.	Soitan sinulle perjantaina.	Aj visavöö tu ja na gutan.
2996	I'll call you when I leave.	Soitan sinulle kun lähden.	Aj visavöö tu ja na ja urtuu.
2997	I'll come back later.	Palaan myöhemmin.	Aj reuut nepir.
2998	I'll give you a call.	Soitan sinulle.	Aj visavööne tu ja.
2999	I'll have a cup of tea please.	Minulle kupillinen teetä, olkaa hyvä.	Tu aj kupri teavem, oo ja hava.
3000	I'll have a glass of water, please.	Minulle lasillinen vettä, kiitos.	Tu aj glavesri vam, haforsa.
3001	I'll have some soup.	Minulla on hiukan keittoa.	Aj oof ipri kuem.
3002	I'll have the same thing.	Minulla on sama asia.	Aj oof re so.
3003	I'll pay for dinner.	Maksan illallisesta.	Aj rovfaa for ennatem.
3004	I'll pay for the tickets.	Maksan lipuista.	Aj rovfaa for tupaprsi.
3005	I'll pay.	Minä maksan.	Aj rovfaane.
3006	I'll stay here until you come back.	Minä pysyn täällä, kunnes tulet takaisin.	Aj autpaoo täla, tuna ja uut retu.
3007	I'll take it.	Otan sen.	Aj aap it.
3008	I'll take that one also.	Otan myös sen.	Aj aap ali it.
3009	I'll take you to the bus stop.	Vien sinut bussipysäkille.	Aj gaa ja tu siotuvö stoplo.
3010	I'll talk to you soon.	Puhun sinulle pian.	Aj sasaa tu ja ipne.
3011	I'll teach you.	Opetan sinua.	Aj padaav ja.
3012	I'll tell him you called.	Kerron hänelle, että soitit.	Aj öbsasaa tu hä, syt ja visavööen.
3013	I'm 26 years old.	Olen 26-vuotias.	Aj oo 26-jänriva
3014	I'm 32.	Olen 32.	Aj oo 32.
3015	I'm a beginner.	Olen aloittelija.	Aj oo tenööjo.
3016	I'm a size 8.	Olen kokoa 8.	Aj oo pipri 8.
3017	I'm a teacher.	Olen opettaja.	Aj oo padaavjo.
3018	I'm afraid. I'm sure. I'm sorry.	Pelkään. Olen varma. Olen pahoillani.	Aj raak. Aj oo varmva. Aj oo ahmili.
3019	I'm allergic to seafood.	Olen allerginen mereneläville.	Aj oo ylfiretva tu fovamem.
3020	I'm American.	Olen amerikkalainen.	Aj oo amerjo.
3021	I'm an American.	Olen amerikkalainen.	Aj oo amerjo.
3022	I'm bored.	Minulla on tylsää. Olen ikävystynyt.	Aj oof öbahmiva. Aj oo luejraaen.
3023	I'm busy just now.	Olen kiireinen juuri nyt.	Aj oo iprinova jusli nen.
3024	I'm cleaning my room.	Siivoan huonettani.	Aj lokliin ajof tolik.
