English	Finnish	Vosa
Do you know the person walking over there?	Tässä on vihreä auto, jonka minä ostin jo 23 vuotta sitten.	Täin oo grinva tuvö, ko aj ääfen ripnen 23 (dubastre) jänsi itne.
This is a green car that I bought already 23 years ago.	Voitko hyvin? Voitko auttaa minua?	Vooko ja hali? Vooko ja vyy aj?
Are you okay (well)? Can you help me?	Saanko palan lohta?	Aafko aj ikob sälmfis?
Can I have a piece of salmon?	Ostaisin talon puutarhoineen, mutta minulla ei ole siihen varaa.	Aj ääfif tol vi tolsieplo, mut aj ej ritsoof for it (mut aj ej oof resrosi for it)
I would buy a house with a garden, but I can't afford it.	Puhutaan mitä sylki suuhun tuo, puuta heinää.	Sasaata ko salivmo intu moup aag, pu hep.
Let's talk about what spit brings to the mouth, wood or hay.	Niin se vaan on, että lähestymme kohti kuolemaa päivä päivältä.	Itli it mut oo, syt ajsi autrafpiir tuob eön tan ut tan.
It's just that we are getting closer to death day by day.	Kun kuolemme, on vain kaksi vaihtoehtoa, jonne joudumme lopulta, taivas tai helvetti, mikä on totta, vaikka et siihen uskoisi.	Na ajsi eöön, oo erisli du tajifosi, kotu ajsi auttuu önutli, halo taj ahlo, ko oo daril, tajli ja ej intu it uusif.
When we die, there are only two options for where we will end up, heaven or hell, which is true even if you don't believe it.	Tule mukaan lenkille luontoon. Ota myös kavereitasi mukaan, niin kuljetaan porukalla.	Uut ja tuvi le turou biolo. Aap ja ali vijosi tuvi, itli tuutta vi josio.
Come along for a walk in nature. Bring your friends too, so we can go as a group.	Ota tästä yksi tai kaksi tai vaikka kaikki makeiset, mutta säästä kuitenkin hampaitasi ja varo liikaa energiaa.	Aap ja ut tä is taj du taj tajli ki suitemsi, mut ropaoo ja amut jaof bitvesi a riskkaa ja ylri pori.
Have one or two or even all of these sweets, but save however your teeth and be careful of too much energy.	Aika kuluu nopeasti, on aika lähteä kotiin.	No noriip nopli, oo no urtuu bal.
Time is passing quickly, it's time to go home.	Tämä paita on minulle liian suuri. 	Tä ylvat oo for aj ylrili piva.
This shirt is too big for me.	Saanko kysyä, kuinka monta vuotta vanha olet? Minä vuonna ja missä olet syntynyt?	Aafko aj koo, siko jänsi unva ja oo? Na ko jän a koin ja oo nöee-en?
May I ask how old you are? What year and where were you born?	Juostaanpa kilpaa, kuka on ensimmäinen, joka voittaa? Kuka pääsee toisena, kuka kolmantena maaliin?	Tyyta a vintra, kojo oo isva, kojo viin? Kojo aftuu li duva, kojo li treva intu oblo?
Let's run a race, who will be the first to win? Who will finish second, who will finish third?	Minusta mikään muu kieli ei ole niin helppo kuin vosa, kun syventyy vosan logiikkaan. Silloin voi jopa itse johtaa uusia sanoja.	Öb aj ejö tua vos oo li gnova li vosa, na autdippiir intu vosa tuvisda. Itna voo jea aut deriiv novva sasi.
I don't think any other language is as easy as Vosa, once you delve into the logic of Vosa. Then you can even derive new words yourself.	Helpossakin riittävän käyttökelpoisessa kielessä on kuitenkin paljon sanojen opettelua.	Gnova a hanidriva teovova vos oof amut piri sasi siapdaavte.
However, even in an easy, sufficiently usable language, there is a lot of word learning involved.	Minkä lahjan antaisin hänelle? Anna vaikka hedelmäkori, hän on varmaan tyytyväinen, kun saa sen.	Ko tofa aj faaif tu hä? Faa ja tajli hednetboks, hä oo mejvarmli nidfulcuva.
What gift should I give her? Give her even thought a fruit basket, she'll probably be pleased (happy)  when she gets it.	Mistä sinä pidät? Pitääkö minun mennä sinne? Pidä tästä kiinni!	Koöb ja öbraa? Piitko aj tuu itle? Paoo ja ru tä!
What do you like? Do I have to go there? Hold on to this!	Mitä teet työksesi? Mitä tekisimme huomenna, kun meillä on vapaa aikaa?	Ko ja tee mu jaof tö! Ko ajsi teeif detanna, na ajsi oof frino?
What do you do for work? What would we do tomorrow when we have free time?	Onko hän jo tietoinen asiasta?	Ooko hä öbvodava so?
Is he already aware of this this matter?	Vosaa ei tarvitse hirveästi edes opetella, kun vain rupeaa puhumaan ja kirjoittamaan käyttäen vosan hyviä, ilmaisia nettisanakirjoja: https://ekovisterlo.blogspot.com/p/suomi-vosa-yli-32000-sanaa-hyva.html ja lukee vähän vosan kielioppia: https://ekovisterlo.blogspot.com/p/grammar-vosadav.html.	Vosa ej niid hirli ipripstli siapdaav, na erisli nötee sasaa a kiir teooli vosa hava, ejrovriva vinet sakirtosi a riik ipri vosa vosdav.
You don't even have to learn Vosaa terribly, if you just start speaking and writing using good, free online dictionaries and read a little Vosa grammar: Lot of learning material	Nyt on aika pitää tauko sekä syödä vähän evästä.	Nen oo no paoo välno a ali eem ipri bägviem.
Now it's time to take a break and also eat some packed lunch.	Sano lause uudelleen, en saanut täysin selvää mitä tarkoitat.	Saa ja lusa novli, aj ej sokliraafen fulli ko ja obmaark (aj ej aafen fulli soklirva ko ja obmaark).
Say the sentence again, I didn't quite understand what you meant.	Nykyisessä kansainvälisessä maailmassa on kuitenkin osattava muitakin kieliä, vaikka osaisi äidinkieltään sujuvasti.	In nenva hyjsivälva köl piit amut davoo ali tua vossi, tajli davooif häof ofvos havotuuli.
However, in today's international world, it is necessary to know other languages, even if you are fluent in your native language.	Voit ottaa nämä kirjat lainaksi.	Ja voo lonroaap täsi kirtosi.
You can borrow these books.	Käytätkö silmälaseja ajaessasi autoa?	Teooko ja kaevglasi na ja katuu tuvö?
Do you wear glasses when you are driving a car?	Jos olisin miljardööri, palkkaisin työntekijöitä viemään vosaa eteenpäin hyvin oppimateriaalein, mainoksin, oppikurssein ja hiomaan ja laajentamaan vosaa vielä paremmaksi.	If aj ooif gusrovjo, aj töroovif tööjosi gaa vosa eddir vi hava davmosi, kädtosi, davhäpsi a  hiee a leileipiir vosa pirnen hapir.
If I were a billionaire, I would hire employees to take the site forward with good educational materials, advertisements, courses, and to polish and expand Vosa even better.	Pysytään asiassa, ollaan realisteja, kuitenkin optimisteja, eikä liian pessimistejä.	Autpaoota in so, oota rilidejosi, amut hastcujosi, a ej ylrili ahstcujosi.
Let's stay on topic, let's be realistic, yet optimistic, and not too pessimistic.	Mikä asia sinulla on tällä hetkellä mielessäsi painavimpana?	Ko so ja oof na tä ipno in jaof mi li hevst?
What is the most important thing on your mind right now?	Missä maissa olet matkustanut? Omistatko maata? Maa on taivaan ja meren vastakohta.	Koin hylsi ja oo rotuuen? Ööfko ja mol? Mol oo ögiplo of yllo a fovamlo (Mol oo yllo a fovamlo ögiplo).
Which countries have you traveled to? Do you own land? Land is the opposite of sky and sea.	Ensin syödään, sitten pidetään ruokalepoa.	Isvana eemta, itne paoota emet.
First we eat, then we take a lunch rest in bed.	Kauan sitten tällä seudulla asuivat esivanhempani.	Luna iten la tä raflo elooen ajof enenmamsi.
A long time ago, my ancestors lived in this area.	Ottakaa ämpärit mukaan metsään, jos löydämme hyvän marjapaikan ja sieniäkin.	Aap jasi pogagvessi tuvi intu pul, if ajsi kees hava berlo a ali fungsi.
Take your buckets with you to the forest if we find a good spot for berries and mushrooms.	Ihminen erottuu eläimestä siinä, että ihmisellä on kuolematon sielu ja ihminen on vastuussa teoistaan ja ihminen on huomattavasti älykkäämpi eläimiä.	Mäm autervokaa ut pe itin, syt mäm oof eöönejva hoj a mäm oo in okofo öb häof tesi a mäm oo pivokali vovispir il pesi.
Humans are distinguished from animals in that they have an immortal soul, are responsible for their actions, and are significantly more intelligent than animals.	Vielä vähän aikaa ja voi tulla maailmanloppu tai kolmas maailman sota, Herra sen yksin tietää.	Pirnen ipri no a voo uut kölön taj treva kölsip, Romä isvi daa it.
Just a little longer and the end of the world or World War III could come, only the Lord knows.	Osa ihmisistä ei ehkä usko henkimaailman asioihin.	Ik ob mämsi ej mejli uus intu hoköl sosi.
Some people may not believe in the spiritual world matters.	Tämä on minun oma ideani. Mitä uutta on tapahtunut? 	Tä oo ajof öfva idea. Ko novva oo hääpen?
This is my own idea. What new has happened?	Päivällä yleensä teemme työtä tai harrastamme ja yöllä nukumme.	Tanna (na tan) tihna ajsi töö taj mitee a natna (na nat) ajsi nuuk.
During the day we usually work or do our hobbies and at night we sleep.	Hyvää yötä! Samaa teille!	Hava nat! Re tu jasi!
Good night! Same to you!	Olen suunnitellut sen aivan itse.	Aj oo kasooen it fulli aut.
I designed it all myself.	Suomi on maailman onnellisin maa, kuitenkin täälläkin on paljon ratkaisemattomia ongelmia.	Finlo oo kölof sakst hyl, amut ali täin oo piri gnooejva ongsi.
Finland is the happiest country in the world, but even here there are many unsolved problems.	Hyvä ja paha ovat olevaisuuden peruskäsitteitä.	Hava a ahva oo oovao besvososi.
Good and evil are fundamental concepts of existence.	Suorita työ mahdollisimman hyvin!	Tuöntee ja tö vostli hali!
Do the job as well as possible!	Moni ei viitsi opiskella kieliä juuri ollenkaan, vaikka opiskelu on hyvää aivovoimisteluakin.	Si ej ratee apdaav vossi jusna ejri, tajli apdav oo ali hava daevpou.
Many people don't feel like studying languages at all, even though studying is good brain exercise.	Lukusanoja: Yksi, kaksi, kolme, neljä, viisi, kuusi, seitsemän, kahdeksan, yhdeksän kymmenen, yksitoista, kaksitoista, kaksikymmentä, sata, tuhat, miljoona, miljardi.	Siösasi: Is, du, tre, kva, fiv, sik, sev, aht, nin, bas, basis, basdu, dubas, ces, dis, fos, gus.
Number words: One, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, twenty, one hundred, one thousand, one million, one billion.	Minne mentäisiin huomenna. Poikani menee peruskouluun ensimmäiselle luokalle loppukesästä.	Kotu tuuifta detanna. Ajof son tuu besdavlo le isva paersio na önlakno.
Where would we go tomorrow? My son will be going to primary school in the first grade at the end of the summer.	Jokin pieni ötökkä (hyönteinen) on tarttunut niskaani.	Ö ipva peg oo aptaarten intu ajof denekve.
Some small bug (insect) has stuck to my neck.	Sellaista sattuu ja tapahtuu.	Itva saat a hääp.
That kind of thing comes by chance and happens.	Mitä sinulle kuuluu? Tämä salaisuus ei kuulu sinulle.	Ko le ja obhöö? Tä dahidvao ej tuoof ja.
How are you? This secret doesn't belong to you.	Söin hyvin, kohta alkaa työ.	Aj eemen hali, ipne nöö tö.
I ate well, work is about to start (soon will work begin).	Näetkö hyvin nämä pienet kirjaimet?	Vokaako ja hali täsi ipva kirkasi?
Can you see these small letters well?	Lenkin jälkeen menen suihkuun.	Ne turou aj tuu (intu) tset.
After the run, I take a shower.	Huomenna on miesten ilta.	Detanna oo mäsiof ennat.
Tomorrow is men's evening.	Onko sinulla tapa käydä säännöllisesti jossakin tilaisuudessa?	Oofko ja lio uttuu regli in ö häp?
Do you have a habit of regularly attending an event?	Kohta alkaa uusi vuosi. Minä alan valaa tinaa.	Ipne nöö novva jän. Aj nöö kauvopaa moSn.
The new year is about to begin. I'm going to start casting tin.	Oletko oppinut paljon vosaa?	Ooko ja daaven piri vosa?
Have you learned a lot about Vosa?	Tässä on sinulle teetä ja leivos, ota ole hyvä!	Täin oo tu ja teavem a bekto, aap ja oo ja hava!
Here's some tea and a cake for you, take, please!	Näin se tapahtui, ensin tuli puhelinsoitto ja sitten unohdin asian kokonaan.	Täli it hääpen, isvana uuten visavööte a itne aj öösen so kioli.
This is how it happened, first I got a phone call and then I completely forgot the about it.	Eräs henkilö soitti minulle huijausyrityksestä, mutta hoksasin sen tietojen kalasteluksi.	Ö hojo visavööen tu aj ut tarrosao tralö, mut aj saddakavooen it mu dasi fiiste.
Someone called me from a fake company, but I figured it was phishing.	Ei mennä sinne, vaan mennään tänne, sopiiko?	Ej tuuta itle, mut tuuta täle, tusoopko?
Let's not go there, let's go here, okay?	Hän mainitsi vähän siitä, mutta ei sen tarkemmin.	Hä issaaen ipri öb it, mut ej it tarkpir.
He mentioned a little about it, but not in more detail.	Vaikka omistaisi kuinka paljon, voi tuhlata kaiken ja on sitten varaton ja rahaton.	Tajli ööfif koli piri, voo ahöfriip ki a oo itne resroejva a rovejva.
No matter how much you own, you can waste it all and then be without property and penniless.	Eri ihmiset pitävät eri asioista ja arvostavat asioita eri painoarvoilla.	Er mämsi öbraa er sosi a rocuu sosi vy er hevrosi.
Different people like different things and value things with different weights.	Mitä taulu esittää? Mitä ehdotuksia hän esitti?	Ko volkato edtukaa? Ko tajsasi hä edtusaaen?
What does the painting represent? What suggestions did he make?	Koko työpäivä oli kiireinen. 	Kio tötan ooen iprinova.
The whole work day was busy.	Muuten, mitä kokoa ovat housusi, että sopiiko nämä vanhat käyttämättömät sinulle?	Tuali, ko pipri oo jaof harvat, syt tusoopko täsi vonva ejteooen tu ja?
By the way, what size are your pants so that these old unused ones will fit you?	Uskotko Jumalaan? Kyllä, Jumala on olemassa, ei näin järjestelmällinen luomakunta voi syntyä sattumalta.	Uusko ja intu Hajo? Je, Hajo oo oonen, ej täli lijärva novteosio voo nöee satli.
Do you believe in God? Yes, God exists, such an organized creation could not have come about by chance.	Jos teillä on kysymyksiä, niin vastaan niihin mielelläni.	If jasi oof kootesi, itli aj ook intu itsi mihali.
If you have any questions, I'd be happy to answer them.	Käykö tämä päinsä (Onko tämä mahdollista)? Käyvätkö aikuiset lapsesi jo töissä vai opiskelevatko he vielä?	Ooko tä vova? Uttuuko jaof fuljosi ipmämsi in tösi taj apdaavko häsi pirnen?
Is this possible? Are your adult children already working or are they still studying?	Ennen ihmisillä oli vähemmän vapaa aikaa kuin nykyisin.	En mämsi oofen rip frino il nenna.
People used to have less free time than they do today.	Jäänkö kotiin vai lähtisinkö mukaan?	Jääko aj in bal taj urtuuifko aj tuvi?
Should I stay home or should I go with you?	Ole ahkera, ettet jäisi jälkeen muista opinnoissasi.	Oo ja piriteva, syt ja ej nejääif ut tuasi in jaof apdavsi.
Be diligent so that you don't fall behind others in your studies.	Mitä on mielessäsi? Onko sinulla mieli tätä ruokaa?	Ko oo in jaof mi? Oofko ja miofra tä em?
What's on your mind? Do you feel like this food?	Hänellä oli hyvä mieli.	Hä oofen hava mi.
He was in a good mood.	Kenen kanssa haluaisit lähteä matkalle?	Vi kojo ja ofraaif urtuu rotuo?
Who would you like to go on a trip with?	Koska hän tulee kotiin? 	Kona hä uut bal? 
When will he come home?	Hän söi suuren annoksen, koska oli niin nälkäinen.	Hä eemen piva riem, syfor ooen itli emnidva.
He ate a large portion because he was so hungry.	C-kirjain äännetään vosassa soinnillisena ässänä, siis näin [z].	C-kirka sahööta in vosa li cöyhva s, syklirli täli [z].
The letter C is pronounced as a voiced ace in the vowel, like this [z].	Siellä on vielä kova ruuhka.	Itla oo pirnen kamva littusta.
There is still heavy traffic there.	Saattaa olla niin, että hän on sairastunut, kun ei tule.	Meej oo itli, syt hä oo retmuuen, na hä ej uut.
It could be that he is sick if he doesn't come.	Minä saatan hänet rautatieasemalle.	Aj vigaa hä le fetultol.
I'll take him to the train station.	En saata syödä tätä, minua oksettaa.	Aj ej karmitee eem tä, aj emyöktee.
I can't eat this, it makes me sick (makes me vomit).	Aina voi tulla myös vastoinkäymisiä.	Kina voo uut ali ahöghäpsi.
There can always come also setbacks (adversities).	Katso, mikä tuolla on?	Kaa ja, ko ätla oo?
Look, what's over there?	Minä jouduin lähtemään kesken pois.	Aj autpiiten urtuu ejteful yr.
I had to leave halfway through (not ready to go away).	Vilja joutuu hyvin tänä kesänä.	Vilem autnotuu hali na tä lakno.
The grain is doing well this summer.	En tiedä sitä. Tiedätkö, mitä tämä maksaa?	Aj ej daa it. Daako ja, ko tä rovrii?
I don't know that. Do you know what this costs?	Hän ei jaksa enää kävellä kymmeniä kilometrejä kerrallaan, sillä hän on jo niin vanha.	Hä ej povoo ejpirnen vetuu bassi dismetrsi isnoli, syfor hä oo ripnen itli unva.
He can no longer walk dozens of kilometers at a time because he is already so old.	Silloin oli maalla vielä paljon väkeä, kun olin lapsi ja nuori. Nyt kaupungit ovat kasvaneet liikaakin.	Itna ooen la nuatlo pirnen piri jori, na aj ooen ipmäm a nuva. Nen taunsi oo piiren ylri a.
There were still a lot of people in the countryside when I was a child and young person. Now the cities have grown too much.	Tunnetko tuon henkilön? Tunteeko sydämesi kipua?	Kavodaako ja ät hojo? Fiiko jaof hemoev ahfi?
Do you know that person? Does your heart feel pain?	Lähdetäänkö kylään (kyläilemään)?	Urtuutako situtoo?
Shall we go visiting?	Minun pitää päästä sisään, onko sinulla vara-avainta?	Aj piit aftuu intu, oofko ja reslukvo?
I need to get in, do you have a spare key?	Kello on jo puoli yksi, tulee kiire.	Novo oo ripnen duik is, uut iprino.
It's already half past twelve, it's getting busy.	Ostetaan puoli kiloa omenia!	Ääfta duik disgram äplhedsi!
Let's buy half a kilo of apples!	Kaikkia tavaroita ei välttämättä tarvitse, kun on minimalisti.	Ki oftosi ej nidli niid, na oo ripstidejo.
You don't necessarily need all the things when you're a minimalist.	Juuri sitä minä tarkoitin.  	Jusna it aj obmaarken. 
That's exactly what I meant.	Punajuuri auttanee hiussuonien hyvään kuntoon jonkin terveysväittämän mukaan.	Redjurep meej vyy for ipgagev hava vosta vili ö terlijesa.
Beetroot is said to help keep capillaries in good condition, according to a health claim.	Otin paljon kuvia luontoretkeltäni, haluatko nähdä ne?	Aj aapen piri katosi ut ajof biolo nirotuo, ofraako ja vokaa itsi?
I took a lot of pictures from my nature trip, do you want to see them?	Siinä on liian paljon asiaa kerralla.	Itin ooen ylrili piri so na isno.
There's too many things for learning in one go.	Elämä on arvokasta, vaikka siinä olisi ongelmia, niihin useimpiin löytyy kuitenkin ratkaisu, että selviytyy.	Eo oo rova, tajli it oofif ongsi, for itsi sipir autkees amut gno, syt autvokliir.
Life is precious, even if it has problems, there is however a solution to most of them, so you can survive.	Yksi kuva voi puhua enemmän kuin tuhat sanaa.	Is kato voo sasaa pir il dis sasi.
One picture can speak more than a thousand words.	Tällainen on asuntoni, voitte tulla pistäytymään.	Täva oo ajof elo, jasi voo uut isuttuu.
This kind is my apartment, you can come and visit.	Hän totesi hoidon onnistuneeksi.	Hä darilkasaaen hake mu saaken.
He declared the treatment successful.	Olkoon tämä viimeinen kerta, kun poltan tupakan.	Oo tä önva isno, na aj teböön tobepto.
Let this be the last time I smoke a cigarette.	Kuten sanoin, hän ei halua puhua siitä mitään.	Li aj saaen, hä ej ofraa sasaa öb it ejö.
Like I said, he doesn't want to talk about it.	Tarvitseeko meidän ostaa noin suurta määrää joululahjoja.	Niidko ajsi ääf ätli piri jultofasi.
Do we need to buy such a large number of Christmas presents?	Useat eivät syö terveellisesti, eivät harrasta liikuntaa tarpeeksi ja eivät nuku riittävästi, sen vuoksi he sairastuvat usein.	Sirisi ej eem forterli, ej mitee uuteo hanidri a ej nuuk hanidrili, itsy häsi retmuu sina.
Many people don't eat healthily, don't exercise enough, and don't get enough sleep, which is why they often get sick.	Yleinen mielipide ei aina ole oikein.	Tihnava micu ej kina oo ratli.
Popular opinion is not always correct.	Olin aivan unohtamaisillani tärkeän tehtävän.	Aj ooen fulli rafli öös curova teob.
I was about to forget an important task.	Tässä tapauksessa meidän on toimittava näin.	In tä obhäp ajsi piit otee täli.
In this case, we need to act like this.	Lisäksi sanon tämän, huono moraali luhistuttaa yhteiskunnan ainakin pitkällä tähtäimellä.	Pirobli aj saa tä, ahvova cuhah telyreek visoslo ripstli na luva teobkavo.
Furthermore, I will say this, bad morals will destroy society, at least in the long run.	Missä on lähin sairaala?	Koin oo rafst retlö?
Where is the nearest hospital?	Huomio, tuolta tulee ambulanssi pikavauhdilla.	Obtark, ätel uut rettuvö vy ipnanopri.
Attention, there's an ambulance coming at high speed.	Älä tee noin tyhmästi! Sen toteuttaminen tulee maksamaan jopa noin miljoona euroa.	Ej ja tee ätli sivli! It rilteete uutne rovrii jea sujli fos eurovsi.
Don't be so stupid! It will cost up to a million euros to implement.	Kuinka pitkä matka tästä vielä on kaupunkiin?	Koli luva rotuo täut oo pirnen tu taunlo?
How far is it from here to the city?	Kuka tuo nainen on?	Kojo ät äm oo?
Who is that woman?	Mikä on syy tähän onnettomuuteen?	Ko oo sy intu tä kas?
What is the cause of this accident?	Täällä on vielä paljon väkeä.	Täla oo pirnen piri jori.
There are still a lot of people here.	Mikä on sinulle tärkeintä elämässäsi?	Ko oo tu ja curost in jaof eo?
What is most important to you in your life?	Jokainen kertokoon mielipiteensä.	Kijosi öbsasaa hä häof micu.
Let everyone express their opinion.	Kohta hän tulee. Tämä kohta on likaantunut.	Ipne hä uut. Tä iplo oo autniilken.
He'll be here soon. This place is dirty.	Kumpi on pojista pidempi?	Dutajko oo ob sonsi lupir?
Which of the boys is taller?	Eikö mikään kieli kiinnosta sinua?	Ejko ejö vos ruhamii ja?
Don't you have any interest in any language?	Kyllä sielun rauha on minulle tärkeä.	Je hoj pis oo tu aj curova.
Yes, peace of soul is important to me.	Onko idea mahdollista toteuttaa?	Ooko idea vova riltee?
Is the idea possible to implement?	Yrityksen on saatava riittävän hyvä tulos pysyäkseen pystyssä.	Tralö piit aaf hanidriva hava utro for (syt it) autpaoo tisdirli.
A company must achieve a good enough result to stay afloat.	Maailma on melko paha.	Köl oo rafli ahva.
The world is pretty bad.	Mitä tietä sinä kuljet, jos haluat pelastua?	Luvi ko tul ja tuut, if ja ofraa authovyy?
Which path will you take if you want to be saved?	Keitä asia koskee? Älä koske siihen!	Kojosi so obtaat? Ej ja obtaat it!
Who is affected? Don't touch it!	Yhteys seurakuntaan ja muihin on tärkeää, että saa elämään voimaa.	Vio intu usdil a tuasi oo curova, syt aaf po intu eo.
Connection with the church and others is important for gaining strength in life.	Miten sinä olet ehtinyt tehdä näin paljon asioita?	Koli ja oo novooen tee täli piri sosi?
How have you had time to do so many things?	Vesi on elämälle välttämätön.	Vam oo for eo nidva.
Water is essential for life.	Tämä alue on kaavoitettu teollisuudelle.	Tä leilo oo telikaaen for tolövao.
This area is zoned for industry.	Usein olemme liian paljon somessa.	Sina ajsi oo ylrili piri in sosva dafafvo.
We often spend too much time on social media.	Yleensä auttaa ehtimään, kun laittaa asiat tärkeysjärjestykseen.	Tihna vyy novoo, na paa sosi intu curojär.
It usually helps to get things done when you prioritize them.	Evankeliumi on Jumalan voima itse kullekin uskovalle autuudeksi.	Rossa oo Hajo-of po for aut obki usva mu pyhrosvao.
The gospel is the power of God for salvation to every believer.	Mistä saat voimaa jaksamiseen työssä ja opiskelussa?	Kout ja aaf po for povoote in tö a apdav?
Where do you get the strength to cope with work and studies?	Hän ei näe selvästi ilman silmälaseja pientä pränttiä.	Hä ej vokaa soklirli ejli kaevglasi ipva utkakir.
He can't see small print clearly without glasses.	Milloin hän on syntynyt?	Kona hä oo nöee-en?
When was he born?	Tämä osoittaa, että ilmastonmuutos on edennyt viime vuosikymmeninä.	Tä tukaa, syt homstamuo oo edtuuen na edönva jänbassi.
This shows that climate change has progressed in recent decades.	Herran pelko on viisauden alku.	Romä rak oo visvao nö.
The fear of the Lord is the beginning of wisdom.	Minä olen A ja O, alku ja loppu.	Aj oo A a O, nö a ön.
I am the Alpha and Omega, the beginning and the end.	Mitä toimintaa on yhdistyksessä?	Ko oteete oof sossio?
What activities does the association do?	Taas on viikonloppu. Hyvää viikonloppua!	Anen oo gunön. Hava gunön!
It's the weekend again. Have a nice weekend!	OSA 2	IK 2
PART 2	Hyvää päivää! Enemmän on keksittävä lauseita, että oppiminen tehostuu.	Hava tan! Pir piit ideavoo lusasi, syt daavte autpaysrii.
Vocabulary can seem difficult when the words are still strange.	Vosa voi näyttää vaikealta, kun sanat ovat vielä outoja.	Vosa voo oblikaa ongva, na sasi oo pirnen ejvikadava.
Show me the light so I can better open the screw in that awkward spot.	Näytä valoa, niin saan paremmin aukaistua ruuvin hankalasta paikasta.	Tekaa ja kat, syt aj aaf hapirli ouup ruv ut ongvova lo.
What would we do next?	Mitä tekisimme seuraavaksi?	Ko ajsi teeif mu deva?
We give (put) and take with our hands, and we go and come with our feet.	Kädellä pannaan ja otetaan ja jalalla mennään ja tullaan.	Vy pave paata a aapta a vy tuve tuuta a uutta.
I am authentic Finnish and he is Swedish.	Olen supisuomalainen ja hän on ruotsalainen.	Aj oo finfinjo a hä oo svidva.
Now is the right time to hear what it means for employment.	Nyt on oikea hetki kuulla, mitä se tarkoittaa työllisyyden kannalta.	Nen oo ratva ipno vohöö, ko it obroo töfari miculi.
First turn right, go one block forward and then turn left.	Käänny ensin oikeaan, mene yksi kortteli eteenpäin ja känny sitten vasempaan.	Auttöön ja isvana tu vel, tuu ja is taunlaori eddir a auttöön ja itne tu lev.
At the very least, the room needs to be vacuumed and the tables wiped, even if the floor isn't yet washed or the rugs outside are dusted.	Ainakin huone on imuroitava ja pöydät pyyhittävä, vaikka lattiaa ei vielä pestäkään eikä tomuteta mattoja ulkona.	Ripstli tolik piit imvöö a laossi vaap, tajli lytal ej pirnen vooshta a ej tomhääkta matsi ni. 
Cities, municipalities and the state are heavily in debt and have been living beyond their means for decades.	Kaupungit, kunnat ja valtio ovat hyvin velkaisia, on eletty yli varojen vuosikymmeniä.	Taunlosi, dilsi a pöhyl oo errili pitrovva, oo ee-en ylli resrosi jänbassi.
He aspires to go to university, where he can do research, but what kind of skills does it require?	Hän pyrkii yliopistoon, siellä voi tehdä tutkimuksia, mutta mitä osaamista se vaatii.	Hä tutraa yldavlö, itla voo tee dakasi, mut ko davoote it teniid. 
These places should be marked on the map.	Nämä paikat pitäisi merkitä karttaan.	Täsi losi piitif maark intu kaloto.
The task is beyond our capabilities, we need help.	Tehtävä käy yli voimien, tarvitsemme apua.	Teob tuu ylli posi, ajsi niid vyo.
How many chapters is that in the book? Seven, as far as I know, is the number of a liar and perfection.	Monesko luku se on kirjassa? Seitsemän on tietääkseni valehtelijan ja täydellisyyden luku.	Sivako rikik it oo in kirto? Sev oo ajof hastdali siö of lirsaajo a fulvovao.
Communication, speeches, writings, examples can influence other people, their opinions, society, decisions, learning outcomes, attitudes, etc.	Viestinnällä, puheilla, kirjoituksilla, esimerkeillä voi vaikuttaa muihin ihmisiin, heidän mielipiteisiin, yhteiskuntaan, päätöksiin, oppimistuloksiin, asenteihin jne.	Vy tusaate, sasasi, kirsi, edkasi voo yys tu tua mämsi, häsiof micusi, visoslo, pätsi, daavte utrosi, tucusi aid. (a itli depirna)
Many videos may seem great on the surface (superficially, externally) with their graphics, but their content is not that rewarding and valuable.	Moni video voi vaikuttaa päältäpäin (pintapuolisesti, ulkoisesti) hienolta grafiikkoineen, mutta sisällöltään ei olekaan niin antoisa ja arvokas.	Si kahöto voo oblikaa eldirtu (laosidli, nili) väkava vi itof katodasi, mut vi itof inob ej oo a itli farova a rova.
Why would we need an international language that is easier and faster to learn? At the very least, it would save time studying the language, avoid misunderstandings due to the ambiguity of words, and make the work of machine translators easier.	Mitä varten tarvittaisiin helpommin ja nopeammin opittava kansainvälinen kieli? Ainakin säästettäisiin aikaa kielen opiskelussa, vältyttäisiin väärinkäsityksiltä sanojen monitulkintaisuuden vuoksi ja konekääntäjien teko olisi helpompaa.	Kofor niidifta gnopirli a noppirli daatava hyjsivälva vos? Ripstli ropaooifta no in vos apdav, auturpiitifta tarlivosootesi syfor sasi silidakaavova a vosmuuvösi te ooif gnopir.
There are times when you are quite busy and don't have time to produce publications with sufficient quality and care.	On aikoja, jolloin on melko kiire eikä ehdi tekemään julkaisuja riittävän laadukkaasti ja huolellisesti.	Nosi oo, kona oo rafli iprino a ej novoo tee dihpatosi hanidriva havaoli a juskeeli.
Is the machine working? Now we need to act quickly to get the injured person to the hospital.	Toimiiko kone? Nyt on toimittava nopeasti, että saadaan loukkaantunut henkilö sairaalaan.	Oteeko vö? Nen piit otee nopli, syt aafta autterreeken hojo intu retlö.
Helsinki is the capital of Finland. I have lived there for about ten years.	Helsinki on Suomen pääkaupunki. Olen asunut siellä kymmenkunta vuotta.	Helsink oo Finlo pätaunlo. Aj oo elooen itla rafli bas jänsi.
